"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Iref [V]","Vbg [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dIref [V]","dVbg [V]","dNTC [Ohm]"
0.001,0.0,0.00011052969999999999,-1.120208e-05,0.0008259272,-3.0801307000000005e-05,0.11941357499999998,47173.42214,1e-06,0.0,1.128769865827395e-06,0.0001924854292402716,8.778466246537604e-05,4.218734257798186e-05,0.048606649404992985,38.52623006324939
0.021,0.71,0.009147593,0.0002099359,0.07723363000000001,0.0003483891,0.32869912,47360.003659999995,2.1000000000000002e-05,0.00071,6.456242018388074e-06,7.41786877007136e-06,0.0008765947205522036,2.9376478498962526e-06,2.440318831628108e-05,18.464475787261645
0.041,0.76,0.017287169999999998,0.00236618,0.199285,0.0028886790000000003,0.34233788,47457.5456,4.1e-05,0.00076,7.078001130262941e-06,0.00012697254837168545,0.0037964757868317834,7.443538741754451e-06,4.1620086496786206e-05,10.446850871529987
0.061,1.06,0.9271766999999999,0.45641429999999994,1.188631,0.6051014,1.0763108999999997,47497.45986,6.1e-05,0.0010600000000000002,0.004821906988941203,0.00223801148567204,0.000291665904760896,0.0001973839912455,0.00011430962339191902,9.035626953034996
0.081,1.27,0.9760025000000001,0.4782658000000001,1.171313,0.6044845,1.0763485,47496.72112000001,8.1e-05,0.00127,0.0007233771146504529,0.0004691555818702256,8.497646733064542e-05,0.0001930819774085698,0.00010526656639221951,4.5512582095082
0.101,1.27,1.0117160000000003,0.4963270000000001,1.153796,0.6044946,1.0764521000000002,47485.06137999999,0.000101,0.00127,0.0005982842133969191,0.00011991496987449336,3.322649545172691e-05,0.00012550394416112613,0.00016024197327793168,8.415145576732842
0.12100000000000001,1.27,1.023161,0.5020054,1.1369090000000002,0.6047182,1.0766545,47458.03718,0.00012100000000000001,0.00127,0.000424345378200358,0.00017949440102690332,2.9137604568664254e-05,0.00015515334350250064,0.00022407643785099168,3.939250320250935
0.14100000000000001,1.28,1.0640139999999998,0.522787,1.1119290000000002,0.6045842,1.0769978999999998,47446.34226,0.000141,0.00128,0.0013596484839839887,0.0004960764054054784,0.00040572034703718516,0.00017422904465100073,0.0002064230849493621,8.142354161446274
0.161,1.28,1.1134030000000001,0.5490209,1.0906670000000003,0.6042256,1.0768736,47428.646779999995,0.000161,0.00128,0.0007092115340291837,0.00013452839848893675,0.00010526632889958528,0.00015615261765337154,0.00014389871437922315,4.384204879974544
0.181,1.28,1.1590259999999997,0.5730479999999999,1.071986,0.6041526,1.0772204,47401.26254,0.000181,0.00128,0.0002654882294942502,0.00025995230331733797,0.00012846789482198742,0.00018924703432287888,5.90680962957062e-05,11.816799139632858
0.20099999999999998,1.28,1.1737119999999999,0.5823089,1.0543010000000002,0.6042623,1.0775065,47341.6052,0.00020099999999999998,0.00128,0.00025937617469613626,0.0002555795179587018,5.281098370603343e-05,0.0001518855160968193,0.00012350809690056752,8.108416710801826
0.22099999999999997,1.28,1.181161,0.5881779,1.0371780000000002,0.6035915000000001,1.0774013,47332.505040000004,0.00022099999999999998,0.00128,0.00045535590476021895,0.00018502186357294712,6.079473661425799e-05,0.00021446409955981564,0.00013299627814341287,5.758468786959741
0.24099999999999996,1.28,1.182331,0.5894598,1.0216720000000001,0.6038328,1.0770708,47287.26478,0.00024099999999999998,0.00128,0.0003425624030742647,0.00015173318687748723,4.95580467734217e-05,0.00014033588279552958,0.00014623665751102214,8.066817566154128
0.26099999999999995,1.29,1.182982,0.5896656,1.0070679999999999,0.603724,1.0775572,47263.982579999996,0.00026099999999999995,0.0012900000000000001,0.00033955264687525444,0.00014578148030526775,7.846018098374183e-05,0.00013252924205623762,0.0001117110558539453,4.931446658090207
0.28099999999999997,1.29,1.185421,0.5901306,0.9944054,0.6034461000000001,1.0776891,47228.74144,0.000281,0.0012900000000000001,0.0003564954417661106,0.00016623609716304725,9.298623554054922e-05,0.00014490924746198878,0.00020732508290121406,13.146253759243052
0.301,1.3,1.187798,0.5900544,0.9851905999999999,0.603453,1.0776562,47183.969079999995,0.000301,0.0013000000000000002,0.000400968826718494,0.00018576124461253913,0.00016007323324028,0.00022853052312547497,0.0001858326128536049,3.174168597539445
0.321,1.31,1.1902279999999998,0.5901666999999999,0.9809353,0.6029006,1.0774251,47148.835960000004,0.000321,0.0013100000000000002,0.00019114392483151788,0.00010332477921582717,0.0003211177509886322,0.00019242879202449375,0.00017231857125682543,7.301079936175104
0.341,1.32,1.192685,0.5903334,0.9799576,0.6028605,1.0774546999999999,47113.83724,0.00034100000000000005,0.00132,0.0001876832437912237,0.00014163558874802747,0.0003510909283932146,0.0001364692273005338,9.40787436140554e-05,17.68011406033353
0.36100000000000004,1.34,1.1947100000000002,0.5904807000000001,0.9796918,0.6026296,1.0777636,47080.25026,0.00036100000000000005,0.00134,0.0003388805099146438,0.00011709829204562893,0.00025105768261497556,0.000147383309774204,0.0001275885574806938,9.162805744224862
0.38100000000000006,1.36,1.1967349999999999,0.5903763,0.9794632,0.6027604,1.0777361,47046.37756,0.00038100000000000005,0.00136,0.0002668051723637037,0.00022274831088023802,0.00031415276538651686,0.0001346485796434667,0.00012563554433364006,10.205016703680078
