"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Iref [V]","Vbg [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dIref [V]","dVbg [V]","dNTC [Ohm]"
0.001,0.0,0.0001300931,3.700019e-05,0.0008674665,-8.117441e-05,0.10395139899999999,46320.647619999996,1e-06,0.0,1.2390321585818524e-06,2.1128808017559818e-05,8.934314156581914e-05,2.044548097343029e-05,0.05143098542795801,17.267397759525647
0.021,0.69,0.009216512,0.00019348869999999998,0.1148876,0.00032274969999999996,0.33038009000000007,46401.327560000005,2.1000000000000002e-05,0.00069,7.726152729528518e-06,9.257685272788228e-06,0.0015145510357858537,1.3755695584011702e-06,3.9421350813992365e-05,7.9246317215631885
0.041,0.76,0.01738942,0.0023582200000000003,0.30601670000000003,0.0028493959999999997,0.34455700000000006,46431.00948,4.1e-05,0.00076,9.199217358015348e-06,9.77357150687502e-06,0.0077875541866493665,4.216541710928537e-06,2.177282710169214e-05,4.276645125049954
0.061,1.17,0.958649,0.4700036999999999,1.1957419999999999,0.6063107000000001,1.0808174,46442.75494,6.1e-05,0.00117,0.00032663251522162,0.0001310389636711197,2.7495454169739116e-05,0.00020098161607469073,0.00011269622886325774,3.10136353857574
0.081,1.28,0.9775688,0.4797168000000001,1.178922,0.6063935,1.0806588,46421.43844,8.1e-05,0.00128,0.00035156501532433753,0.00012651703442620446,3.682390527904277e-05,0.000249262612519403,0.00010030533385619095,5.965897832044896
0.101,1.28,0.9877323,0.4845827000000001,1.162065,0.6062905999999999,1.0807298000000003,46397.85604,0.000101,0.00128,0.0003745415998257034,0.00014057101408185805,3.041381265147132e-05,0.00019180834184154272,0.00012887420222837138,7.5410403761279765
0.12100000000000001,1.28,1.0046969999999997,0.4927169,1.1446640000000001,0.6061945,1.0811118,46360.883780000004,0.00012100000000000001,0.00128,0.0004581495389062399,0.00024231733326363748,1.959591794225103e-05,0.00022393090452192235,0.00019407307901921376,9.326030781719032
0.14100000000000001,1.29,1.048401,0.5162408,1.1178649999999999,0.6057186000000001,1.0809985999999998,46339.99196,0.000141,0.0012900000000000001,0.0008885994598242744,0.0005214563836026903,0.00020041207548449107,0.0001246420474799626,0.0001363511642781247,9.915790252037329
0.161,1.29,1.097372,0.5409682,1.097941,0.6056991,1.0811835000000003,46308.96949999999,0.000161,0.0012900000000000001,0.0005546133788505743,0.00023545776691372893,0.00014010353314604775,0.00012542603398018313,0.00013236936956865966,5.920957410756619
0.181,1.29,1.150858,0.5682893000000001,1.0798329999999998,0.6057127999999999,1.0812245,46311.00398,0.000181,0.0012900000000000001,0.0004165285104287704,0.00028517049286347725,8.614522621711277e-05,0.0001331523938951208,9.823263205272706e-05,9.317461268691945
0.20099999999999998,1.29,1.172462,0.5813872999999999,1.0621,0.6055657,1.0816450999999998,46268.183860000005,0.00020099999999999998,0.0012900000000000001,0.00029704545106768924,0.0002200300206789881,6.340346993658104e-05,0.0001484823558541631,0.00010776961538389063,7.9421466550561135
0.22099999999999997,1.29,1.184173,0.5882277,1.0447359999999999,0.6054343999999999,1.0814461000000002,46234.57463999999,0.00022099999999999998,0.0012900000000000001,0.00018692511869727621,0.00032174463476491224,8.957678270624007e-05,0.00020497619373965355,0.00014388568379102677,11.743859113697395
0.24099999999999996,1.29,1.1866189999999999,0.5914492,1.0289949999999999,0.6054153999999998,1.0816826000000002,46201.7125,0.00024099999999999998,0.0012900000000000001,0.00029713464961194714,0.00024535843168719374,5.987486951967698e-05,0.00011127551392825399,0.0001567368495281272,6.5860337402708735
0.26099999999999995,1.3,1.187743,0.5921443,1.0144289999999998,0.6048376,1.0810630999999997,46181.88075999999,0.00026099999999999995,0.0013000000000000002,0.00032323520847829263,0.0002845273449073001,9.115371632578149e-05,0.00012721415015634114,9.79565720102483e-05,7.458942716391042
0.28099999999999997,1.3,1.189663,0.5922133,1.001704,0.6045638000000001,1.0810859000000002,46154.86894,0.000281,0.0013000000000000002,0.0003053538930486988,0.000226476952469786,0.00010355674772799094,0.00016853949092125923,0.00017313777750678947,7.550265640517717
0.301,1.31,1.191225,0.5920682000000002,0.992783,0.6046153999999999,1.0812211,46097.349780000004,0.000301,0.0013100000000000002,0.00029011204731965327,0.00016830199048139256,0.00013484212991493282,0.00012335898832271718,0.0002074277946659766,15.202704923191792
0.321,1.32,1.1941279999999999,0.5926489,0.9899163000000002,0.6044178,1.0812678999999998,46059.7613,0.000321,0.00132,0.0003693182909090599,0.00012875204852741322,0.00022419591878531574,0.00016060560388728601,0.00012118205312670713,8.182383648546283
0.341,1.34,1.195916,0.5923459,0.9882553,0.6039260000000001,1.0816545,46020.114519999996,0.00034100000000000005,0.00134,0.0003365768857185539,0.0001422128334574687,0.0001670724693059789,0.00019267277960313358,0.0001310276688337254,6.281167442887234
0.36100000000000004,1.35,1.19882,0.5927797,0.9883901999999999,0.6041635999999999,1.0813473,45955.96406,0.00036100000000000005,0.00135,0.00018121810064119842,0.00019332824418589786,0.0002038091263903454,0.00013206377247374567,0.00016654491886577838,3.2747583242734613
0.38100000000000006,1.36,1.201017,0.5928845,0.9877478000000002,0.6040477999999999,1.0815556,45919.33812000001,0.00038100000000000005,0.00136,0.000359334106368967,0.00022140833317649828,0.00023089209601023818,0.00014590873860054765,0.0001086095760050441,7.398709143466112
0.4010000000000001,1.39,1.2021989999999998,0.5927494,0.9871028999999998,0.6035157,1.0814835999999999,45875.95532,0.0004010000000000001,0.00139,0.00033086099800369546,0.0002484850900959656,0.00018727063304214126,0.00013163286063897772,0.0001476165302396797,18.52177337712599
0.4210000000000001,1.4,1.2041169999999999,0.5927757,0.9873836,0.6032997,1.0816887999999998,45822.46576,0.0004210000000000001,0.0014,0.00025741212092673645,0.00016403844061684634,0.0002303294162715787,0.00014671608637090717,0.00010997163270585416,15.38477032764525
0.4410000000000001,1.41,1.205498,0.5930722,0.9871829,0.6035750999999999,1.0816913,45785.718960000006,0.00044100000000000015,0.00141,0.00036616389772885997,0.0001773227565768033,0.0003318048974924769,0.00016500693924801873,0.00019180461412595724,4.960474382395623
0.46100000000000013,1.43,1.2061119999999999,0.5930576000000001,0.9875028,0.6035771,1.0817809,45723.88428,0.00046100000000000015,0.00143,0.0004837106573148688,0.0001537193546694906,0.00022268938007907862,0.0001607093338919645,0.00012217974463876144,9.217179243000391
0.48100000000000015,1.45,1.207044,0.5934069,0.9878052,0.6037928,1.0819036999999998,45679.414220000006,0.00048100000000000014,0.00145,0.00030378281715724557,0.00015643366006074197,0.00027496974379010906,0.00010497409204178294,0.00010464229546411493,12.352746030321219
0.5010000000000001,1.46,1.206114,0.5928427000000001,0.9858046,0.6029456000000001,1.0818488,45617.990000000005,0.0005010000000000001,0.00146,0.0005007234765816063,0.0001857945370564062,0.000262472169953318,0.00021324877490855256,0.00012392804363822605,6.665551746104609
0.5210000000000001,1.48,1.207471,0.5937296999999999,0.9873661,0.6028871,1.0821777,45563.36754000001,0.0005210000000000001,0.00148,0.00023080077989470963,0.00014947779099251004,0.0003245949629923253,0.00013524751384037258,9.76207457459975e-05,8.364235085076455
0.5410000000000001,1.51,1.207083,0.5933156,0.9873027999999999,0.6025808,1.082813,45519.56028,0.0005410000000000001,0.00151,0.00023345449235345585,0.00012762068797807574,0.00018600795681906674,0.00020426443645432118,0.00011121330855612192,8.63954861075715
0.5610000000000002,1.52,1.2071779999999999,0.5933402,0.9865998999999999,0.6022662000000001,1.0823575,45459.368760000005,0.0005610000000000002,0.00152,0.00030505081543898583,0.00015202223521577682,0.00026390053050343585,0.00013357679439182863,0.00012129241526165948,6.308719542538924
0.5810000000000002,1.54,1.2084270000000001,0.5939139000000001,0.9872644999999999,0.602386,1.0827250999999998,45404.89314,0.0005810000000000002,0.0015400000000000001,0.0002207736397308313,0.00016659078605975493,0.00018625855685040955,0.00019003157632352413,0.00026211426897444415,4.668556297870267
0.6010000000000002,1.56,1.209211,0.5940610000000001,0.9869519999999999,0.6021746,1.0831316000000002,45324.41104,0.0006010000000000002,0.0015600000000000002,0.00030553068585657155,0.00013169662106525152,0.00019328217714006203,0.00021459366253456037,0.0001197974958002495,8.704165680318331
0.6210000000000002,1.57,1.208923,0.5941546000000001,0.9875514999999998,0.6020301,1.0825794,45272.54994,0.0006210000000000002,0.00157,0.0003457470173407405,0.00013141856794228113,0.0003720626963295404,0.00014887474601151156,8.933666660449608e-05,5.574400705222973
0.6410000000000002,1.59,1.209499,0.5942495,0.9872107999999999,0.6017958,1.0830357,45214.41308,0.0006410000000000003,0.00159,0.0003953087401006721,0.00013342732104033067,0.00015282984001825428,0.0001249390251282542,0.00011992501824060262,7.653084937043286
0.6610000000000003,1.61,1.2092790000000002,0.5943189999999999,0.9876038999999999,0.6015667999999998,1.0834423,45142.27862,0.0006610000000000002,0.00161,0.0002394765124182315,0.00015033429415804077,0.0002756568337625627,0.00014600465745996812,8.855060699963466e-05,14.21008283049894
