"Load current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Vpre [V]","Vbg [V]","NTC [Ohm]","dVin [V]","dIload [A]","dVDD [V]","dVref [V]","dVoffs [V]","dVpre [V]","dVbg [V]","dNTC [Ohm]"
0,1.56,1.214127,0.5969727,0.9906775999999999,0.6017209,1.0956052,44133.25608000001,0.0,0.0078000000000000005,0.00044779571235106406,0.00022303096197614215,0.0002965569759759515,0.00033895853728736856,9.630347864949363e-05,64.73608314334119
0.03,1.56,1.213476,0.5974729,0.9908046,0.6014956,1.0956803000000002,44547.61459999999,3e-05,0.0078000000000000005,0.00045035985611509505,0.0002189275907691738,0.000430706442951587,0.00019246152862327173,0.0001591094277533524,27.60947385395052
0.06,1.56,1.2126060000000003,0.5970457,0.9898002,0.6014852000000002,1.0955871,44776.6471,6e-05,0.0078000000000000005,0.00037648904366522853,0.0001567539792158289,0.00036399857142575706,0.00013946454746637535,0.00013226371384470094,19.437769646849635
0.09,1.56,1.211658,0.5961749999999999,0.988847,0.6010221,1.0954190000000001,44911.96932,8.999999999999999e-05,0.0078000000000000005,0.00032437015892342215,0.00022225075927880092,0.0003766189055265387,0.0001470526776362871,0.00013979914162830467,10.283775111582216
0.12,1.56,1.213676,0.5971225,0.9908367,0.6020920000000001,1.0951466,45016.41704,0.00012,0.0078000000000000005,0.0004766801862884992,0.00011050995430277769,0.0004166391844270066,0.0001921697166569221,0.00018800755303975528,21.544795231386914
0.15,1.56,1.212272,0.5967372,0.9901009999999999,0.6024826000000001,1.0946948,45097.11088,0.00015,0.0078000000000000005,0.00043666463103855666,0.00027058965242596363,0.00038295091069220634,0.00016883613357335779,0.00010655496234333781,15.492980880824414
0.18,1.56,1.212218,0.5969507000000001,0.9896857999999998,0.6022781,1.0945189,45194.76462,0.00017999999999999998,0.0078000000000000005,0.0003117627302933941,0.00014169195460575224,0.0002857459711002204,0.0001626877069726109,0.00011058702455533821,11.856287712837814
0.21,1.56,1.213089,0.5970076,0.9899087000000002,0.6029639,1.0946288,45258.045600000005,0.00021,0.0078000000000000005,0.0004970000000000249,0.0001641939097530613,0.000364379211810994,0.00018753956915807372,0.00014188995736130408,4.679162077979906
0.24,1.57,1.2123329999999999,0.5966142999999999,0.9900755,0.602428,1.0941255,45344.3734,0.00024,0.007850000000000001,0.00045696936439986054,0.00018883699319782813,0.00034772381281702184,0.00016668833192517855,0.00015921699029941032,2.6687822833648087
0.27,1.56,1.2130649999999998,0.5969732000000001,0.9909731,0.6031467,1.0941119,45428.15582,0.00027,0.0078000000000000005,0.0005863318173184648,0.00014526100646765282,0.00043035484196183633,0.00017875964309652443,0.00020759308755346738,7.904488384053544
0.30000000000000004,1.57,1.21214,0.596642,0.9909839,0.6030833,1.0939632,45489.88028,0.00030000000000000003,0.007850000000000001,0.0003666878781743594,0.00014586294937371226,0.00021609740859159245,0.00019579839120891597,0.00010965837861286319,7.864938912770643
0.33000000000000007,1.57,1.212221,0.5964497,0.9906593000000001,0.6030154000000001,1.0934041,45558.35846,0.00033000000000000005,0.007850000000000001,0.00029436202200692406,0.00012814917089077932,0.0003990315902281376,0.00016547761177874905,0.00014019304547656638,6.320000479936427
0.3600000000000001,1.57,1.2120570000000002,0.5962113,0.9906039,0.6028420999999999,1.0935212,45617.25222,0.00036000000000000013,0.007850000000000001,0.0003340374230531926,0.00025725086977503085,0.00026621587105204715,0.00023750597887210072,0.00010376781774712216,6.788278912773847
0.3900000000000001,1.56,1.21171,0.5961885,0.9902105000000001,0.603242,1.0931505000000001,45671.26544,0.00039000000000000016,0.0078000000000000005,0.00020469489490456465,0.00031715997540673473,0.00021228153475985544,0.00032354999613661267,0.00016826541534136622,5.411543534556821
0.42000000000000015,1.57,1.210179,0.5955796,0.9901272999999999,0.6028598,1.0932780999999998,45726.07732,0.0004200000000000002,0.007850000000000001,0.00041512528229438987,0.0003329300827501136,0.00040934412173622485,0.00011957993142664973,0.0001317751494023164,12.893876307983335
0.4500000000000002,1.56,1.210598,0.5954015,0.9905578,0.6028450000000001,1.0933253000000003,45803.97000000001,0.0004500000000000002,0.0078000000000000005,0.0005517390687634789,0.00020719761099008275,0.0002456879321415749,0.00016875781463386824,0.0001122880670418706,11.994345456755795
0.4800000000000002,1.57,1.21095,0.5955615,0.9897037,0.6032214,1.092847,45870.12022,0.00048000000000000023,0.007850000000000001,0.00033988233257997605,0.00023501329749612643,0.00040843703309079496,0.0001495079930973534,0.00012334180151106667,8.729037973889454
0.5100000000000002,1.57,1.209036,0.5951219999999999,0.9896062999999999,0.6035313,1.0930362,45947.81536,0.0005100000000000003,0.007850000000000001,0.00033266199061508025,0.00018532943640986894,0.0002447974877322066,0.0002431143969410186,0.00010857697730182733,10.603981746230673
0.5400000000000003,1.57,1.1997639999999998,0.5905794,0.9893591,0.6031902,1.0925975,46000.931240000005,0.0005400000000000002,0.007850000000000001,0.0003835674647307849,0.00021684750402068344,0.0004702638514706535,0.00014424825822171642,7.382580849540988e-05,8.348873849952453
