"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Iref [V]","Vbg [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dIref [V]","dVbg [V]","dNTC [Ohm]"
0.001,0.0,0.0001078582,4.869817e-05,0.001321164,-3.241778e-05,0.12529374,50692.02182,1e-06,0.0,1.0713728389314332e-06,1.4703305276573019e-05,0.0001201666698548312,1.715982439868194e-05,0.05018193918117314,21.225516257033508
0.021,0.69,0.009128265,0.00021178019999999997,0.06087915000000001,0.0003334284,0.328432,50809.92516,2.1000000000000002e-05,0.00069,9.275552005136782e-06,1.3238096523292164e-05,0.0005394663237867596,1.3514666419856608e-05,6.432806541472089e-05,16.296556236285003
0.041,0.76,0.01724401,0.0022334779999999997,0.1574008,0.0027150459999999996,0.34202553,50882.67156,4.1e-05,0.00076,8.558323433943832e-06,1.1376668932512727e-05,0.0023583741348649455,5.6838335654732045e-06,2.6114825291394287e-05,7.895506749690161
0.061,0.79,0.02520947,0.002694918,0.3125264,0.003135474,0.34914980000000007,50897.484339999995,6.1e-05,0.00079,6.094267798513699e-06,4.361214046570062e-05,0.005829030883431657,1.4731111431253258e-05,2.9564099851004286e-05,10.266377667433296
0.081,1.06,0.20821589999999998,0.002266896,1.00442,0.0026987189999999996,0.33746293,50890.961079999994,8.1e-05,0.0010600000000000002,0.00011847906988156146,3.786856458858717e-05,3.464101615138655e-05,4.885751631018529e-06,5.777047775464981e-05,21.978582522665956
0.101,1.07,0.20690500000000003,0.0019251460000000002,1.003863,0.002285451,0.32648806,50860.06604,0.000101,0.00107,0.00023452036158935402,5.9187647055783534e-05,3.100000000000039e-05,9.286580048650895e-06,5.968159180183129e-05,8.442653458622189
0.12100000000000001,1.1,0.20658880000000002,0.001829274,0.9951704000000001,0.001939012,0.31505144,50843.0858,0.00012100000000000001,0.0011,0.00020989749879405439,3.822552712520783e-05,6.45944270041889e-05,5.176200923457296e-06,7.011010198252147e-05,12.714979115042743
0.14100000000000001,1.12,0.20778029999999997,0.0016712810000000002,0.9818368,0.001661581,0.30384464999999994,50824.18384,0.000141,0.0011200000000000001,0.0002636251315789182,6.77293503586149e-06,0.00011863625078365442,8.42861726500853e-06,0.00038900205462182697,11.304046705777461
0.161,1.14,0.2084752,0.001529056,0.9643112,0.001401214,0.29155836,50826.61582,0.000161,0.00114,0.00014642458809913176,1.844319939706772e-05,0.0004946758130331413,9.681341022812891e-06,0.0004347464898075688,4.4247717443481
0.181,1.14,0.20982000000000003,0.001423687,0.9442016000000001,0.001188466,0.27916542,50786.42734,0.000181,0.00114,0.00021302018683683446,2.1861447367454902e-05,0.0004971732494815095,8.822419396061372e-06,0.00027427055547397434,5.555114757985989
0.20099999999999998,1.16,1.1641769999999998,0.5771689,1.052333,0.6005137,1.0724058,50739.619479999994,0.00020099999999999998,0.00116,0.0005717175876252291,0.00021063876661243095,6.9577295147224e-05,0.0002075533907215181,0.00018446181176604414,5.94409139613505
0.22099999999999997,1.28,1.1745990000000002,0.5842615000000001,1.034932,0.600089,1.0723779,50697.42642,0.00022099999999999998,0.00128,0.00017739503938947744,0.00017849215669041795,6.539113089707558e-05,0.00011336313333707781,6.364503122788248e-05,5.837436806134878
0.24099999999999996,1.28,1.1767670000000001,0.5855081999999999,1.0191119999999998,0.6006157,1.0725496,50678.95824000001,0.00024099999999999998,0.00128,0.00022136169497002415,0.00014320460886440615,8.219489035214598e-05,0.00014813848250874883,0.00019347775065886664,5.414491981931492
0.26099999999999995,1.28,1.177927,0.5854250000000001,1.004374,0.6001451,1.0726531,50643.30906,0.00026099999999999995,0.00128,0.00039716621205739255,0.00026623185384171453,5.5353410012395404e-05,0.00011008310497073741,9.200266300496056e-05,13.758498322507856
0.28099999999999997,1.28,1.179468,0.5860036000000001,0.9909986,0.6000339000000001,1.0726861,50606.05672,0.000281,0.00128,0.00041751167648341515,0.00015642263263351117,6.406434265642896e-05,0.00015845658711458713,6.254350485862022e-05,7.80826779930072
0.301,1.29,1.181531,0.5861953,0.9805495000000001,0.6001806000000001,1.0727801,50568.27326,0.000301,0.0012900000000000001,0.00040076052699835566,0.0002035013759167066,0.00019321193027346806,0.00013663981850103654,0.00011267248998758015,7.874672825355646
0.321,1.3,1.182941,0.5859958,0.9745386,0.5998743,1.0729355,50528.76884,0.000321,0.0013000000000000002,0.00032706115636072,0.00024729528907767306,0.00016493829149110285,0.00012350145748128791,0.00012863689206444684,3.8134668377212075
0.341,1.31,1.185843,0.5862968,0.9730494000000001,0.5995183,1.0732373999999998,50488.48014,0.00034100000000000005,0.0013100000000000002,0.0002902085457046202,0.00010630597349162164,9.98060118429633e-05,9.525549852896909e-05,0.0002157100832135549,6.594216793098174
0.36100000000000004,1.34,1.187792,0.5864455,0.9725632000000001,0.5996914,1.0731752,50444.71310000001,0.00036100000000000005,0.00134,0.0002615262893095182,0.00013837503387534054,0.000328951303386985,0.00016744682738111427,7.441612728435638e-05,10.75416408039317
0.38100000000000006,1.35,1.1899929999999999,0.5867006,0.9724771999999999,0.5997493,1.0734127,50393.1038,0.00038100000000000005,0.00135,0.00026981660438155455,0.00016298478456592,0.00021785765995255778,0.00020200844041772287,0.0001826631051964333,5.809869133810128
