"Load current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Vpre [V]","Vbg [V]","NTC [Ohm]","dVin [V]","dIload [A]","dVDD [V]","dVref [V]","dVoffs [V]","dVpre [V]","dVbg [V]","dNTC [Ohm]"
0,1.56,1.205988,0.5926876999999999,0.9814527,0.6020799,1.0799543999999999,45003.95698,0.0,0.0078000000000000005,0.00022807016464239756,0.00022125779082328716,0.00017537391482202859,0.00012080351816069292,0.00011429540673187765,73.87541066488593
0.03,1.56,1.2051779999999999,0.5923046,0.9806423000000001,0.6019446,1.0797331,45435.07460000001,3e-05,0.0078000000000000005,0.0002475398957743828,0.00016524357778746284,0.0002631714460195196,0.00019119110857987058,0.0001489170574514504,36.74002097930747
0.06,1.56,1.2050859999999999,0.5923376000000001,0.9808386,0.6021521,1.0795228000000001,45656.28504,6e-05,0.0078000000000000005,0.0002744157429886498,0.00011495059808455333,0.00019941273780778418,0.00011088503054967043,0.0001673169447485917,23.03423397142526
0.09,1.56,1.204898,0.5924392999999999,0.98081,0.6022601000000001,1.079407,45791.3506,8.999999999999999e-05,0.0078000000000000005,0.0003744809741495632,0.00017334015691697303,0.0003095948965987582,5.809380345614196e-05,0.00012140675434259977,14.526961319010162
0.12,1.56,1.205454,0.5921875,0.9812223,0.6022282000000001,1.0791686999999999,45907.4465,0.00012,0.0078000000000000005,0.00029883774861954004,0.00020932044811722733,0.0002278117863500574,0.0001532734810722376,0.00016815353103637166,9.670974614588618
0.15,1.56,1.205247,0.5921319,0.981123,0.6029454999999999,1.0789862,46014.2344,0.00015,0.0078000000000000005,0.00032056356623919936,0.00015275827309839531,0.00012512953288494613,0.00013813851743811736,0.0002187184491532402,10.607637747585148
0.18,1.56,1.2042320000000002,0.5917258999999999,0.9805471000000001,0.6029256000000001,1.078492,46093.839439999996,0.00017999999999999998,0.0078000000000000005,0.000336951035018426,0.0001846301438010706,0.0003690239694112044,0.00016854210156515265,0.00013622995265362393,14.792691351961533
0.21,1.56,1.204561,0.5923217000000001,0.9811376,0.6032225999999999,1.07835,46148.31714,0.00021,0.0078000000000000005,0.00026931208662068557,0.0001739546205192781,0.0003948964927674192,0.00022373967015260814,0.00013972115086845907,8.350962746797316
0.24,1.56,1.204608,0.5917665999999999,0.9804574,0.6031609,1.0783101,46214.418419999995,0.00024,0.0078000000000000005,0.00044881622074075,0.00014518966905396723,0.00023736983801653924,0.00015948194255150058,0.00015165714622132368,10.119011556749793
0.27,1.56,1.203819,0.5916942000000001,0.9803488,0.6031682,1.0779606999999998,46277.15508,0.00027,0.0078000000000000005,0.0002192464366870989,5.8321179686275177e-05,0.00023450876316250498,6.523312042204066e-05,0.00016181535773836264,12.069240728298025
0.30000000000000004,1.56,1.203469,0.5916575,0.9808867000000001,0.6034209,1.0776558999999999,46337.98102,0.00030000000000000003,0.0078000000000000005,0.00035203550957256204,0.00017013891383218995,0.00029838198672172696,0.00014483055616823954,0.00012529999999998936,13.319468870552285
0.33000000000000007,1.56,1.204167,0.5916629999999999,0.9804267,0.6034879,1.0772361,46418.15848,0.00033000000000000005,0.0078000000000000005,0.0001522530787865853,0.0002742969194139861,0.00026341490086931535,0.00022013380022159498,0.00011643491744320507,10.794207600820585
0.3600000000000001,1.56,1.2041490000000001,0.5915999000000001,0.9809374,0.6038360999999999,1.0772428,46497.24888,0.00036000000000000013,0.0078000000000000005,0.00034881083698765926,0.00018863798663047655,0.00022310365304046366,0.00011400127192273969,0.00014165013236845856,5.787058437030393
0.3900000000000001,1.56,1.203687,0.5912780000000001,0.9806400999999999,0.6038923,1.0768759,46563.85163999999,0.00039000000000000016,0.0078000000000000005,0.0003772015376426662,0.00019216347207520312,0.00034518384956426463,6.867612394422761e-05,0.00011273992194424993,9.062289701526044
0.42000000000000015,1.56,1.2027420000000002,0.5914252,0.9807781999999999,0.6042413,1.0765294,46610.7081,0.0004200000000000002,0.0078000000000000005,0.00029620263334410575,0.00014353870558144092,0.00031236990892209574,0.00011339933862240067,8.041293428298981e-05,6.660332286904188
0.4500000000000002,1.56,1.2033739999999997,0.5915614,0.9811729999999999,0.6046944999999999,1.0764027,46673.150279999994,0.0004500000000000002,0.0078000000000000005,0.000361336408351015,0.0001152399236375832,0.00020120536772162958,0.00018931204399085482,0.0001371087524558908,7.378405145124399
0.4800000000000002,1.56,1.202603,0.5911088,0.9802,0.604417,1.0763025,46727.272840000005,0.00048000000000000023,0.0078000000000000005,0.00033621570457073287,0.000164845867403458,0.00025213329807862215,0.00016602048066428196,0.00010586713371015625,15.48368149473438
0.5100000000000002,1.56,1.202439,0.5910643,0.9804162,0.6048187999999999,1.0760688000000003,46798.46028,0.0005100000000000003,0.0078000000000000005,0.0006453440942628799,0.0001945549022769733,0.0002155531488983779,0.0001508143229272266,5.546133788508132e-05,8.712328065540106
0.5400000000000003,1.56,1.194564,0.5871747,0.9807286,0.6048577999999999,1.075601,46866.3243,0.0005400000000000002,0.0078000000000000005,0.00031334326225405473,0.0002218918880896738,0.00035463705390160035,0.00015422892076392833,0.00011613096055749653,4.288303929060837
0.5700000000000003,1.56,1.049692,0.5098345,0.9803108,0.6044702,1.0764108000000001,46906.67916,0.0005700000000000003,0.0078000000000000005,0.013416615668640117,0.008883375791330682,0.00021087095580001302,0.00014434458770595503,8.32031249413048e-05,5.126379121213104
