"Load current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Vpre [V]","Vbg [V]","NTC [Ohm]","dVin [V]","dIload [A]","dVDD [V]","dVref [V]","dVoffs [V]","dVpre [V]","dVbg [V]","dNTC [Ohm]"
0,1.56,1.209222,0.5940115,0.9833221,0.6033041,1.0810724,44851.63778,0.0,0.0078000000000000005,0.0004040742506025078,0.00011347356520351907,0.0002233577623455449,0.00011589603099330233,0.00019240072764933444,66.5072650606345
0.03,1.56,1.2091720000000001,0.5940725,0.9839368000000001,0.6035082999999999,1.0808914,45290.08326,3e-05,0.0078000000000000005,0.0002612967661491219,0.0001262016243952392,0.00023071748958411277,0.00010511997907153623,8.370925874714594e-05,35.37164837174589
0.06,1.56,1.2091889999999998,0.594625,0.9847519,0.6036925,1.0804178,45498.60436,6e-05,0.0078000000000000005,0.0003397778686141484,0.0001380086953782176,0.0002990463007629407,0.00017445988077493003,0.00010632760695130086,18.964137113678365
0.09,1.56,1.208605,0.5937994000000001,0.9840376,0.6039515999999999,1.0802646999999999,45639.44987999999,8.999999999999999e-05,0.0078000000000000005,0.00030123910768689555,0.0001698394536025135,0.000197492885947826,0.00020198821747814257,0.0001709596736075328,19.785017052953275
0.12,1.56,1.208517,0.5936693,0.9837446,0.6039051999999999,1.079982,45749.28376,0.00012,0.0078000000000000005,0.00026709736052606695,0.00016137289115584138,0.00025123104903652466,0.00012910135553121792,0.0001683175570164747,18.081423578424175
0.15,1.56,1.208816,0.5942089,0.9841300000000001,0.6043698,1.0799683999999998,45849.486600000004,0.00015,0.0078000000000000005,0.0002751072518128031,0.0001634909477616594,0.00038122172026264776,0.0001328907822236072,0.0001342156473739195,20.4952434979436
0.18,1.56,1.208227,0.5939585000000001,0.9838869000000001,0.6044766,1.0796538999999998,45921.5392,0.00017999999999999998,0.0078000000000000005,0.0002977935526501537,0.00013406807972071486,0.00034854940826230404,0.0001042316650543421,0.00013752414333488325,16.14807979544372
0.21,1.56,1.208054,0.5937037,0.9843022999999999,0.6048016,1.0797008,45987.22317999999,0.00021,0.0078000000000000005,0.00039832649924403707,0.0001357534898262347,0.0002017682085958957,0.00022751052722896973,0.00012238692740649819,11.720064835554597
0.24,1.56,1.207476,0.5933371000000001,0.9835474999999999,0.6046781,1.0792031999999998,46055.4591,0.00024,0.0078000000000000005,0.0003189420009970483,0.00016665260273996673,0.0002907608123526929,0.0001388815682515222,0.00012309573510074857,12.724807182664575
0.27,1.56,1.2079360000000001,0.5937121,0.9841093000000001,0.6052012999999999,1.0790636,46120.00266,0.00027,0.0078000000000000005,0.0002490060240235188,0.0001714767914325388,0.00014410763338560767,0.0001392070759695635,0.00015000546656705814,13.379374554528207
0.30000000000000004,1.56,1.2087489999999999,0.5939302,0.9844814,0.6051137,1.0786713,46182.927260000004,0.00030000000000000003,0.0078000000000000005,0.0003794588251708023,0.00019280912841462014,0.0002862789548674566,3.882022668660868e-05,0.00012475660303164573,9.404610225970407
0.33000000000000007,1.56,1.207921,0.5936277,0.9839141,0.6053313000000001,1.0784362,46249.71428,0.00033000000000000005,0.0078000000000000005,0.0002918715470887683,0.00016921232224633697,0.00020293223006707082,0.0001725792861266978,0.00017351357295613214,9.965147878962751
0.3600000000000001,1.56,1.207968,0.5935235999999999,0.9838949999999999,0.6057283,1.0781316999999997,46318.21628,0.00036000000000000013,0.0078000000000000005,0.0003734648577845236,0.00012389608549103303,0.0002218247055672725,0.00012535314116529105,0.00011483209481673689,3.5876235785801156
0.3900000000000001,1.56,1.2077280000000001,0.5935200999999999,0.9844294999999998,0.6057946,1.0780131,46396.36172,0.00039000000000000016,0.0078000000000000005,0.00035916013141770015,0.00014504857806955958,0.0002657680379579105,0.00016706058781173875,0.00013239595915280703,13.173101669752223
0.42000000000000015,1.56,1.2071129999999999,0.5933073,0.9843905,0.6059813999999999,1.0777954,46458.397919999996,0.0004200000000000002,0.0078000000000000005,0.0003505153348999289,0.00015823909125120024,0.00027315279606843055,0.00015896930521329508,9.21381571337392e-05,9.623425501223684
0.4500000000000002,1.56,1.206851,0.5932729,0.984399,0.6062776999999999,1.0778239,46510.4129,0.0004500000000000002,0.0078000000000000005,0.00020373757630835635,0.00019269221572236443,0.0002637900680465468,0.00014850323228804153,9.906407017681621e-05,9.395292736471111
0.4800000000000002,1.56,1.20629,0.592959,0.9840139000000001,0.6064286999999999,1.0773579999999998,46562.460680000004,0.00048000000000000023,0.0078000000000000005,0.00035045684470415067,0.00014170109385603884,0.00032014135940235783,0.0001783037015880272,5.361343115300597e-05,4.989881213574579
0.5100000000000002,1.56,1.206039,0.5930076,0.9843930000000001,0.6064627999999999,1.0768214999999999,46609.1155,0.0005100000000000003,0.0078000000000000005,0.00040210570749494293,0.00019907546307870998,0.00017372679701185844,0.00016177132007869535,0.00012824995126704532,12.842025188733338
0.5400000000000003,1.56,1.1980330000000001,0.5890213,0.9841039,0.6064972,1.0767136000000002,46697.21250000001,0.0005400000000000002,0.0078000000000000005,0.0003583029444478712,0.00011552839477808022,0.000255363838473657,0.00017416647208919498,8.947200679542155e-05,9.315353028844013
0.5700000000000003,1.56,1.064381,0.5227408999999998,0.9839109,0.6063008,1.0770118000000002,46719.314679999996,0.0005700000000000003,0.0078000000000000005,0.007975694891355837,0.0026921009806469094,0.0004094353306689544,0.00021651087732489857,0.00014528647562657814,14.917583001464951
