"Load current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Vpre [V]","Vbg [V]","NTC [Ohm]","dVin [V]","dIload [A]","dVDD [V]","dVref [V]","dVoffs [V]","dVpre [V]","dVbg [V]","dNTC [Ohm]"
0,1.59,1.225953,0.6042664999999999,1.0140719999999999,0.6065323,1.1232323000000002,43717.68118,0.0,0.00795,0.0006438330528949212,0.00021621621123311217,0.0005576163555707857,0.00028078213974538636,0.00015969223525271278,58.01931393290772
0.03,1.59,1.2253290000000001,0.6041489,1.0144090000000001,0.6063521000000001,1.1231642000000002,44108.85398,3e-05,0.00795,0.0007430538338505426,0.00016244165106278006,0.0005084574711812222,0.0002865388106347995,0.00010002379716848713,34.61128366497779
0.06,1.59,1.2251020000000001,0.6043027999999999,1.014054,0.6064063,1.1228678,44325.440539999996,6e-05,0.00795,0.0007223129515660279,0.00038634771903040536,0.00046037376119843656,0.0002273556904939844,0.00011364312561701071,25.605779719241376
0.09,1.59,1.2229240000000001,0.6037838000000001,1.013209,0.6065001999999999,1.1229767999999998,44452.905660000004,8.999999999999999e-05,0.00795,0.0010191486643272344,0.000257240276784173,0.0002598634256681851,0.00017350896230454725,0.00019778109110834245,21.003734251659164
0.12,1.59,1.2249169999999998,0.6044139,1.014567,0.6065615,1.1218618,44570.21118,0.00012,0.00795,0.0005397786583406188,0.00043075502318605416,0.00047581614096204076,0.0005128672830274826,0.00017236229286011793,5.248796706826571
0.15,1.59,1.221704,0.6029188,1.013201,0.6061321000000001,1.1219396,44629.14698,0.00015,0.00795,0.00041224264699322847,0.0003311177434085961,0.0006574868819984356,0.0006698721445171608,0.00013116950865199457,3.4238406460573834
0.18,1.59,1.22272,0.6031438,1.0131450000000002,0.6061284,1.1213754,44703.88068,0.00017999999999999998,0.00795,0.0005772174633532572,0.0005098542536843224,0.00044533695108310117,0.0006370942159524034,0.00012974991329473798,13.781115717445125
0.21,1.59,1.2216320000000003,0.602584,1.013739,0.6063953,1.121616,44781.9921,0.00021,0.00795,0.0007268534928030387,0.00014532584078546344,0.00039085675125291727,0.00017749199981970668,0.0001324635799002855,15.620942470030034
0.24,1.59,1.222091,0.6022943,1.011765,0.6063843999999999,1.1217792000000002,44837.917279999994,0.00024,0.00795,0.000625642869375178,0.000251856328092035,0.0009871094164275822,0.000290706449876851,0.00016895312959516105,7.434379617266203
0.27,1.59,1.221647,0.6030814,1.013782,0.6069803000000001,1.1215536,44910.65381999999,0.00027,0.00795,0.0008302897084752869,0.0005382882499181981,0.00039349205836964506,0.0004710501141067843,0.00020659970958355258,15.331222210822393
0.30000000000000004,1.59,1.2209699999999999,0.6027013999999999,1.013352,0.6067433999999999,1.1212759,44969.800540000004,0.00030000000000000003,0.00795,0.0009126992933052915,0.0005189102427202538,0.0009765428818029152,0.0003156273752385932,0.00015308131825932014,2.2292369668570386
0.33000000000000007,1.59,1.220774,0.6021192,1.014106,0.6070058999999999,1.1207343,45045.05772,0.00033000000000000005,0.00795,0.0009896989441239325,0.0004890823652515023,0.0007029964438032164,0.000527001034154582,0.00017888602516687258,10.876163281304992
0.3600000000000001,1.59,1.220873,0.6014923,1.014551,0.6072074000000001,1.1202322,45092.49636,0.00036000000000000013,0.00795,0.0005056490878069689,0.0005982432699161791,0.0005472924264047679,0.0006966283370635964,0.00021954261545311374,9.320110836809201
0.3900000000000001,1.6,1.222134,0.6023577000000001,1.0165570000000002,0.6076509,1.1202628000000001,45159.88282,0.00039000000000000016,0.008,0.0007813731502937664,0.0002195809873372703,0.0005894242953934066,0.0005188187448425571,0.00019026024282545892,12.038784430233417
0.42000000000000015,1.59,1.219303,0.6008389,1.014434,0.6072916000000002,1.1197125,45232.12696,0.0004200000000000002,0.00795,0.0013712406790932397,0.0007255550220348701,0.0009093866064551846,0.0003880722097754653,0.00014423609118386762,13.11091254544814
0.4500000000000002,1.59,1.220371,0.601602,1.0158900000000002,0.6079278,1.1197906999999998,45294.535220000005,0.0004500000000000002,0.00795,0.0005410998059508103,0.00036113903139927284,0.0007821125238736405,0.0004018730645365708,9.081304972303693e-05,5.279130095536408
0.4800000000000002,1.59,1.21797,0.6004286000000001,1.01452,0.6083811,1.1195347999999998,45347.69987999999,0.00048000000000000023,0.00795,0.0006747147545444849,0.0003394357671194989,0.00044389187872721265,0.0004943861749685229,0.0001437767714201342,4.52407177016411
0.5100000000000002,1.59,1.217507,0.6005324,1.01518,0.6078589,1.119266,45397.16976,0.0005100000000000003,0.00795,0.0005647309093718756,0.00029419150225661327,0.0005234118837015533,0.0005849140877086272,0.00011342486499882817,9.56000690472704
0.5400000000000003,1.59,1.209165,0.595027,1.015264,0.6085600999999999,1.1192069999999998,45447.16114,0.0005400000000000002,0.00795,0.0008197469121625122,0.0002933789358491836,0.0007231763270462019,0.0003439797813825626,0.00015299477115248417,10.392463014627124
0.5410000000000003,1.6,1.2076860000000003,0.5950825000000001,1.0167160000000002,0.609234,1.1189271,45486.87358,0.0005410000000000002,0.008,0.0006172066104636424,0.0002744369690840015,0.000879217834214019,0.0004398420170924926,0.00017508937717632987,10.651370608405266
0.5420000000000003,1.59,1.204387,0.5932959,1.0150190000000001,0.6070951,1.1192476,45521.229419999996,0.0005420000000000003,0.00795,0.000681924482622551,0.0005683269217624621,0.0007058817181370071,0.0004220785353462122,0.00010795665796976473,5.1610280826224715
0.5430000000000003,1.59,1.206804,0.5941298,1.016626,0.608848,1.1192107,45550.54026,0.0005430000000000003,0.00795,0.0009722983081339159,0.0002502162264922215,0.00046215149031456597,0.00017783419243779417,0.000225275409221663,8.778175809267108
0.5440000000000003,1.59,1.205101,0.5939785,1.0160909999999999,0.6085585,1.1191806,45589.50042,0.0005440000000000003,0.00795,0.0005496808164744639,0.00025046566630976594,0.00047909184923144917,0.00024179092207938127,0.00020050097256622273,5.116844899506098
0.5450000000000003,1.59,1.2038570000000002,0.5932679999999999,1.015864,0.6078211,1.119246,45583.75202,0.0005450000000000002,0.00795,0.0008178881341601449,0.00034737818008618665,0.0003420000000000508,0.0002798662001743214,0.00011261793818037233,5.2934106035342285
0.5460000000000003,1.59,1.201446,0.591656,1.0139319999999998,0.6091341000000001,1.1190046,45605.84192,0.0005460000000000003,0.00795,0.0012417906425803244,0.0004921861436489225,0.00072758229775061,0.0003395931241942482,0.0001637383278282693,3.804094186740279
0.5470000000000003,1.59,1.2018940000000002,0.5921741999999999,1.013694,0.6087879,1.1188692999999998,45633.160820000005,0.0005470000000000003,0.00795,0.0007204887230206844,0.0003862933600257832,0.0005969120538236527,0.0002564712264563063,0.00011738573167128189,3.269311877689888
0.5480000000000003,1.59,1.200449,0.5914673,1.015989,0.6090306,1.1190542,45628.48578,0.0005480000000000003,0.00795,0.0009451290917118287,0.0002077835652788627,0.0005210844461313219,0.00037341403294467094,0.0001974521714238518,8.576385065377108
0.5490000000000003,1.6,1.202634,0.5918752,1.017257,0.609078,1.1190305999999999,45626.7009,0.0005490000000000002,0.008,0.00044683777817009456,9.917842507320201e-05,0.000587469999234003,0.00019334011482359252,0.0001666590531594648,11.557120168624566
0.5500000000000003,1.59,1.1982499999999998,0.5900544999999999,1.014466,0.6082616,1.1192163000000002,45648.771740000004,0.0005500000000000002,0.00795,0.0009940321926376556,0.00023015397020254827,0.0006850868558073494,0.00034849625536009364,0.0002054497748842942,7.591520908117868
0.5510000000000003,1.59,1.197915,0.589984,1.0156839999999998,0.6084948,1.1191789,45648.19843999999,0.0005510000000000003,0.00795,0.0005860759336468032,0.000267517476064652,0.001198375567174138,0.0003162498379446244,0.0002475643148759731,9.687736991599788
0.5520000000000003,1.59,1.196469,0.5900863000000001,1.016384,0.6094106,1.119113,45637.06916,0.0005520000000000003,0.00795,0.0005780389260248742,0.00042610281623101207,0.0006478610962235618,0.0003238586728806228,0.00018191096723400656,5.356790189879326
0.5530000000000003,1.59,1.195031,0.5904307,1.016772,0.609794,1.1192363,45677.95188,0.0005530000000000003,0.00795,0.0005869829639776844,0.0002734776224849029,0.0004197570726026896,0.00028605663774854926,0.00024292387696560515,5.818861349920063
0.5540000000000003,1.6,1.195169,0.5885839999999999,1.0163959999999999,0.6093120000000001,1.1193049,45651.4343,0.0005540000000000002,0.008,0.0007608869824093795,0.000524037212419124,0.0008059057016797999,0.00015617746316290039,0.00013805756045938167,14.06037456926343
