"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Iref [V]","Vbg [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dIref [V]","dVbg [V]","dNTC [Ohm]"
0.001,0.01,0.000123819,-9.065632200000001e-05,0.0010325463,-7.05003256e-06,0.0784147107,46376.8692,1e-06,1e-05,1.0893667885519535e-06,0.0001205826662659354,9.722198076571987e-05,1.3615606804873055e-05,0.05199608331833653,19.511934149130727
0.021,0.71,0.009544061999999999,0.00018663520000000003,0.1184126,0.0002569151,0.33889376,46472.26972,2.1000000000000002e-05,0.00071,1.0990158142629432e-05,1.549249558850994e-05,0.0011673919821550956,8.592015426545737e-06,4.191145905358256e-05,5.8862897364626745
0.041,0.78,0.01801331,0.001978113,0.32690389999999997,0.0022946060000000002,0.35459472000000003,46501.0065,4.1e-05,0.0007800000000000001,8.789590434144234e-06,1.3524709275988207e-05,0.006766140930397482,9.240082467164382e-06,2.9845595990029345e-05,6.734665380552332
0.061,1.3,0.9811154,0.4820457,1.2277429999999998,0.6050777,1.0936971,46493.96756,6.1e-05,0.0013000000000000002,0.00045613555002870464,0.00022808991648032138,5.900000000002373e-05,0.00038085405341151894,0.00021834534572553682,9.90218753762971
0.081,1.31,0.9964102,0.4890465,1.2104300000000001,0.6045860999999999,1.0938809,46497.63661999999,8.1e-05,0.0013100000000000002,0.0005425408371726516,0.00029603420410486406,2.3664319132384597e-05,0.00032516009902813905,8.707979099649886e-05,8.47003788596007
0.101,1.31,0.9998388,0.49095380000000005,1.192968,0.6045065,1.0939486999999999,46461.79756,0.000101,0.0013100000000000002,0.0004651633691511058,0.00020803403567685875,4.935585071703958e-05,0.0003038026497580345,0.00012086277342505239,10.543797640053997
0.12100000000000001,1.31,1.0108980000000003,0.49588,1.175394,0.6043713000000002,1.0936902,46433.07139999999,0.00012100000000000001,0.0013100000000000002,0.0003757339484262558,0.0002126823923130396,3.746998799043201e-05,0.00018296505130761296,0.00010914192594963316,6.342598630530132
0.14100000000000001,1.32,1.0339839999999998,0.50739,1.1575000000000002,0.6039289000000001,1.0935846999999999,46404.4478,0.000141,0.00132,0.0005302301387133334,0.0002256789755382388,3.521363372330279e-05,0.00010658559940255356,0.000126982715359192,8.616916773416511
0.161,1.32,1.092991,0.5387625,1.1244239999999999,0.6042494,1.0937752999999997,46358.2781,0.000161,0.00132,0.0005955577218036938,0.0005005998901318307,0.0002132697822008734,0.0001492469095157463,0.00023730446687745846,4.871330078325503
0.181,1.32,1.144512,0.5654821999999999,1.105814,0.6040566999999999,1.0939631000000003,46322.49516,0.000181,0.00132,0.0006077137484046338,0.0002055800573985869,6.46838465152091e-05,0.00015649539929341036,9.560800175717593e-05,8.351150075911681
0.20099999999999998,1.32,1.1769070000000001,0.582114,1.0882399999999999,0.6042558,1.0941230000000002,46283.856719999996,0.00020099999999999998,0.00132,0.0004139335695494964,0.0002666357065360811,7.962411694955817e-05,0.00022203053844010445,0.00014502206728636015,6.970375881227478
0.22099999999999997,1.32,1.192606,0.5914430000000002,1.071213,0.6038069,1.0945237,46284.94124,0.00022099999999999998,0.00132,0.00044011816595092035,0.00024854375872269464,0.00011747765745024067,0.000150476210744418,0.00012785229759374562,4.586002483471007
0.24099999999999996,1.33,1.199569,0.5948753,1.0553029999999999,0.6039608999999999,1.0940621,46248.77483999999,0.00024099999999999998,0.00133,0.00031065897701499224,0.0001735073773647668,7.057619995437669e-05,0.0001537748028774568,8.188217144168747e-05,7.697390205414954
0.26099999999999995,1.33,1.2016579999999997,0.5955637,1.040119,0.6032051,1.094566,46212.96766,0.00026099999999999995,0.00133,0.0005447531551078978,0.0003070746000567408,9.833107342034658e-05,0.00022524895116292516,7.84792966329128e-05,5.161402182585129
0.28099999999999997,1.33,1.202774,0.5959937,1.025871,0.6035927999999999,1.0943603,46169.223079999996,0.000281,0.00133,0.00045775976232079554,0.00028768074318592725,5.4671747731336374e-05,0.0002253605111815137,0.0001322240900894579,13.19123163884252
0.301,1.33,1.2034569999999998,0.5959984,1.0126909999999998,0.603317,1.0948798,46135.168920000004,0.000301,0.00133,0.00035000142856851733,0.0003064226492934072,0.00012509596316428637,0.00013774178741396818,0.0001494802997053571,8.145663747640059
0.321,1.34,1.2057470000000001,0.5970261000000001,1.0018240000000003,0.6032774,1.0949551,46089.522320000004,0.000321,0.00134,0.00032379159964397226,0.00023150181424775676,0.0002823189685444413,0.0003521520126309138,0.00010101232598053892,5.354979812248903
0.341,1.35,1.2056220000000002,0.5964849,0.9951044999999998,0.6031582,1.0950346,46059.72004,0.00034100000000000005,0.00135,0.0004314348154704507,0.0001266715832379171,0.00023124716214473594,0.00019451005115417473,0.00013096656061754609,6.905512334534432
0.36100000000000004,1.36,1.2078630000000001,0.5967005999999999,0.9930750999999999,0.6027478,1.0952790000000001,46017.93803999999,0.00036100000000000005,0.00136,0.0003579678756536731,0.00022332272611627423,0.00029661134502913917,0.00013813529599636382,8.402023565782374e-05,9.68112374150767
