"Load current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Vpre [V]","Vbg [V]","NTC [Ohm]","dVin [V]","dIload [A]","dVDD [V]","dVref [V]","dVoffs [V]","dVpre [V]","dVbg [V]","dNTC [Ohm]"
0,1.57,1.217522,0.6008252000000001,0.9985130000000002,0.6012027000000001,1.1111898,43592.328519999995,0.0,0.007850000000000001,0.0008734849741123055,0.00022037413641349293,0.00037119321114481183,0.00027663841020364444,0.0001189048358982846,69.94364696566568
0.03,1.58,1.2186350000000001,0.6013497,0.9991483000000001,0.6014153,1.1108927000000002,44000.20056000001,3e-05,0.0079,0.0006527518670980272,0.0002911958275799995,0.0004914973143365261,0.00017802249857811029,0.00014751545681721318,30.423917207263948
0.06,1.58,1.21822,0.6009198,0.9985497999999999,0.6012663,1.1105506999999997,44227.41372,6e-05,0.0079,0.0003337663853655546,0.0001809485009609105,0.0003943992393502003,0.00024710080938760527,0.00012118914967933919,7.585294170539393
0.09,1.57,1.216983,0.6007385,0.9984697,0.6011462,1.1102732000000002,44356.15514,8.999999999999999e-05,0.007850000000000001,0.0008821683512799466,0.0002174986206852843,0.0005308798451627418,0.000241997438002971,0.0001529992156842849,15.662759901446785
0.12,1.57,1.215617,0.6002691,0.9965084999999998,0.6009887999999999,1.1100822000000001,44449.8207,0.00012,0.007850000000000001,0.0006107871969843532,0.00030294436783013406,0.0004494265790983011,8.570624247977231e-05,0.00022753716180002627,23.12241027912116
0.15,1.57,1.216084,0.6002273,0.9974635,0.6015240000000001,1.1098822,44554.091700000004,0.00015,0.007850000000000001,0.000757353286122129,0.00019097594089308693,0.0003723829346250975,0.000245782830970741,0.00011328706898849638,7.120676285297811
0.18,1.58,1.2172209999999999,0.599873,0.9978655999999999,0.6008673,1.1096344999999999,44639.631219999996,0.00017999999999999998,0.0079,0.0007537963916071906,0.00021890500222699588,0.00039890780889825013,0.0002570113032533721,0.0001207255151158955,13.04740070395718
0.21,1.58,1.215517,0.5999230000000001,0.9978687,0.6018214000000001,1.1094382,44696.8023,0.00021,0.0079,0.000875111992832872,0.0005392033011768282,0.000284528750744095,0.00023307432291008853,0.0001332800060024108,5.616085734032191
0.24,1.58,1.218073,0.6005814,0.9975753,0.6017604000000001,1.1093585000000001,44778.55862,0.00024,0.0079,0.0004929918863429879,0.00048531416628818074,0.00035425585386834754,0.000412748882493943,0.00011799597450759539,14.521890475746904
0.27,1.58,1.216105,0.6000779,0.9971817,0.6014684000000001,1.1088699,44846.6343,0.00027,0.0079,0.0006314150774253015,0.00032438016277203173,0.0005008814330757368,0.00033808880490191607,0.0002418931375628398,10.60274543578258
0.30000000000000004,1.57,1.215722,0.5994181999999999,0.9968562000000001,0.6012694999999999,1.1085997,44917.18156,0.00030000000000000003,0.007850000000000001,0.0003186785213973303,0.0004993795750728979,0.00026958145336801004,0.0004280537933484493,0.0001275939261877151,8.986208280380746
0.33000000000000007,1.58,1.215716,0.5997768000000001,0.9977539999999999,0.6015482999999999,1.1084944,44975.761080000004,0.00033000000000000005,0.0079,0.0005352793663125706,0.0003574285383122217,0.0004850711288048439,0.0002720172972441108,0.00020521510665641498,9.894864303343999
0.3600000000000001,1.58,1.2149839999999998,0.5992721,0.9977545999999998,0.6008075,1.108139,45039.3534,0.00036000000000000013,0.0079,0.0003821832021426238,0.0003215610206477203,0.0006733059037317388,0.0004521529055529755,0.00014108153670840552,8.99561422805525
0.3900000000000001,1.58,1.215432,0.5986287,0.9972077,0.6017672000000001,1.1081016,45094.6555,0.00039000000000000016,0.0079,0.0007528319865680743,0.000193602711757871,0.00046857231032147105,0.00022505279380624141,0.00011777537943047394,12.215052136278159
0.42000000000000015,1.57,1.2150960000000002,0.5988994,0.9972358,0.6020591999999999,1.1075662000000002,45173.9197,0.0004200000000000002,0.007850000000000001,0.0007733459769081072,0.00025538880163389756,0.0004617011587596502,0.00022970842387689614,0.00012196294519237243,4.510544684180688
0.4500000000000002,1.58,1.2148819999999998,0.5981831,0.997674,0.6017463000000001,1.1071890999999998,45227.515159999995,0.0004500000000000002,0.0079,0.0004472314836860096,0.00027457692911096206,0.00034837537226387895,0.00031349419452359904,0.00012083993545180426,7.925327383925164
0.4800000000000002,1.58,1.214236,0.5988184000000001,0.9971793999999999,0.6023042999999999,1.1068183,45279.834220000004,0.00048000000000000023,0.0079,0.0004723176896962588,0.0003144471974751951,0.00037210541517154435,0.00019652381535070263,0.00018427753525593855,7.5129345378216135
0.5100000000000002,1.58,1.2123869999999999,0.5979443000000001,0.9967167,0.6022573,1.1066217999999999,45333.27588,0.0005100000000000003,0.0079,0.0005381830543597694,0.00032898177761085787,0.0003560974726110683,0.00021526962163759226,0.00021716159881528228,8.421413822251438
0.5400000000000003,1.58,1.202572,0.5921248,0.9969846,0.6025766000000001,1.106474,45394.961939999994,0.0005400000000000002,0.0079,0.0007865087412101535,0.00020439804304346035,0.0010434469991331572,0.0002706016260113697,0.00011907140714716171,15.36206064531701
0.5410000000000003,1.58,1.2029320000000001,0.5926893,0.9981904,0.6025957999999999,1.1063933,45449.69702,0.0005410000000000002,0.0079,0.00045422021091094363,0.0002073822798601818,0.0003324259917635934,0.0003203675389299031,0.00011835797396033608,1.8466941267023202
0.5420000000000003,1.58,1.203011,0.5927498,0.9994962999999999,0.6027192,1.1061067000000002,45484.89814,0.0005420000000000003,0.0079,0.0008365219662387552,0.00031453864627418467,0.0003428965004195842,0.0001545391859691361,0.00018814093121913037,5.544555755548687
0.5430000000000003,1.57,1.201351,0.5920542999999999,0.9975019000000002,0.6026157,1.1064017,45497.72578,0.0005430000000000003,0.007850000000000001,0.0005144015940877364,0.0005399707492077724,0.00047452174871127364,0.00035177949059033613,6.199362870489488e-05,5.638808055397613
0.5440000000000003,1.58,1.200958,0.5915381,0.9980205,0.6027028999999999,1.1061999,45519.9803,0.0005440000000000003,0.0079,0.0005763991672443639,0.00030068137621077566,0.00039985053457511235,0.0003336499512962518,9.726402212531748e-05,3.744292332068229
0.5450000000000003,1.58,1.1991910000000001,0.5914497,0.9981779,0.6022228999999999,1.1066585,45531.06394000001,0.0005450000000000002,0.0079,0.00040908312113799474,0.0004996246691267289,0.0010755720756880965,0.0002244466306274097,9.549999999998263e-05,8.641377317211578
0.5460000000000003,1.58,1.198733,0.5908456,0.9981756,0.6026290000000001,1.1064562,45544.174960000004,0.0005460000000000003,0.0079,0.00036144294155505936,0.00027309236532719526,0.0005655809756347798,0.0002682047725153276,0.00013116081731978478,6.7529032027992955
0.5470000000000003,1.58,1.197327,0.5906362,0.9986801,0.6029538,1.1064436,45563.87244,0.0005470000000000003,0.0079,0.0004922204790538631,0.00029743530388976315,0.0003024372496899393,0.0003351968973603499,0.0001413309590995707,4.239102739305698
0.5480000000000003,1.58,1.196791,0.5900606999999999,0.9987961000000001,0.6031761999999999,1.1065706,45575.782999999996,0.0005480000000000003,0.0079,0.000683234220454448,0.00014835703555948366,0.0005380056598215372,0.00033840561461063144,0.00016155259205594312,8.64002825666534
0.5490000000000003,1.57,1.194588,0.5888344,0.9981851,0.6021476000000001,1.1065934,45576.48338,0.0005490000000000002,0.007850000000000001,0.0006466343634543523,0.0003806048344411665,0.00033394833432732703,0.0004334672305953483,0.00011759013564068287,9.10641470709642
