"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Mirrored Current [V]"
0.001,0.35,0.000243628,0.00359814,0.410303,0.0789153
0.021,0.71,0.82928,0.409183,0.866499,0.0167025
0.041,0.95,1.08615,0.537183,1.15577,0.0307888
0.061,1.18,1.09229,0.539958,1.13956,0.0498487
0.081,1.18,1.03602,0.512006,1.12375,0.0674103
0.101,1.19,1.03932,0.513501,1.10159,0.0896926
0.12100000000000001,1.19,1.0539,0.520677,1.07806,0.114825
0.14100000000000001,1.19,1.06165,0.525197,1.05063,0.145496
0.161,1.2,1.06976,0.528472,1.01987,0.186239
0.181,1.21,1.09577,0.541304,1.00889,0.206348
0.20099999999999998,1.22,1.11746,0.552157,1.0024,0.225791
0.22099999999999997,1.25,1.12617,0.557676,1.00042,0.2502
0.24099999999999996,1.27,1.13882,0.564011,1.00029,0.268711
0.26099999999999995,1.28,1.15443,0.57066,1.00055,0.285564
0.28099999999999997,1.3,1.16728,0.577923,1.00125,0.301619
0.301,1.31,1.18025,0.583587,1.00142,0.317185
0.321,1.33,1.18944,0.588374,1.0015,0.33118
0.341,1.34,1.19571,0.591697,1.00242,0.344029
0.36100000000000004,1.35,1.20243,0.594952,1.00291,0.358091
0.38100000000000006,1.36,1.2067,0.596263,1.00328,0.367982
0.4010000000000001,1.38,1.20916,0.598397,1.00461,0.374056
0.4210000000000001,1.39,1.21219,0.599407,1.00521,0.385552
0.4410000000000001,1.4,1.21372,0.600155,1.00607,0.395916
0.46100000000000013,1.41,1.21441,0.600169,1.00632,0.409342
0.48100000000000015,1.43,1.21444,0.600489,1.00756,0.426563
0.5010000000000001,1.45,1.21485,0.600553,1.00843,0.444793
0.5210000000000001,1.46,1.21445,0.600409,1.00942,0.462997
0.5410000000000001,1.48,1.21433,0.60029,1.01066,0.481668
0.5610000000000002,1.52,1.21423,0.600271,1.01211,0.500147
0.5810000000000002,1.53,1.21513,0.600495,1.01345,0.518845
0.6010000000000002,1.55,1.21535,0.600414,1.01484,0.537543
0.6210000000000002,1.57,1.21517,0.600584,1.0161,0.556432
0.6410000000000002,1.59,1.21496,0.600279,1.01761,0.575164
0.6610000000000003,1.62,1.2157,0.600782,1.02028,0.593979
0.6810000000000003,1.64,1.21588,0.600849,1.02201,0.612777
0.7010000000000003,1.66,1.21596,0.600726,1.02399,0.632115
0.7210000000000003,1.68,1.21641,0.600989,1.02604,0.650989
0.7410000000000003,1.7,1.21672,0.601121,1.02897,0.670426
0.7610000000000003,1.73,1.21591,0.600761,1.03083,0.689427
0.7810000000000004,1.75,1.21668,0.600857,1.03325,0.708593
0.8010000000000004,1.77,1.21614,0.600823,1.03651,0.727952
0.8210000000000004,1.79,1.21666,0.601084,1.04016,0.747201
0.8410000000000004,1.81,1.21632,0.601631,1.04385,0.766616
0.8610000000000004,1.84,1.2159,0.601637,1.04752,0.786041
0.8810000000000004,1.86,1.21638,0.601997,1.0514,0.805411
0.9010000000000005,1.89,1.21587,0.602436,1.05609,0.825049
0.9210000000000005,1.91,1.21526,0.603104,1.06149,0.844179
0.9410000000000005,1.93,1.2132,0.603162,1.06593,0.854925
0.9610000000000005,1.93,1.21092,0.60278,1.06909,0.853113
0.9810000000000005,1.93,1.20764,0.602344,1.07235,0.849793
