"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Mirrored Current [V]"
0.001,0.36,0.000245011,0.00309703,0.405217,0.088796
0.021,0.86,0.831194,0.410491,0.870539,0.01652
0.041,1.13,1.08631,0.537146,1.15899,0.0309158
0.061,1.18,1.08095,0.534781,1.14143,0.0497837
0.081,1.18,1.02628,0.506603,1.12556,0.0675292
0.101,1.18,1.02512,0.50747,1.10284,0.090139
0.12100000000000001,1.19,1.04025,0.51569,1.07924,0.115747
0.14100000000000001,1.19,1.0543,0.520736,1.05158,0.147103
0.161,1.2,1.0633,0.526637,1.02024,0.187002
0.181,1.21,1.09305,0.539505,1.00831,0.20712
0.20099999999999998,1.23,1.1139,0.550841,1.00237,0.227535
0.22099999999999997,1.24,1.12337,0.556046,1.00003,0.250163
0.24099999999999996,1.26,1.13791,0.563015,1.00058,0.269883
0.26099999999999995,1.27,1.15106,0.57046,1.0005,0.286354
0.28099999999999997,1.3,1.16491,0.576414,1.00079,0.302893
0.301,1.32,1.17892,0.582711,1.00041,0.316206
0.321,1.33,1.18852,0.587586,1.00122,0.332665
0.341,1.35,1.19571,0.592361,1.00213,0.347481
0.36100000000000004,1.36,1.20137,0.594423,1.00183,0.358487
0.38100000000000006,1.37,1.20681,0.59679,1.00259,0.367527
0.4010000000000001,1.38,1.20965,0.598232,1.0037,0.378717
0.4210000000000001,1.39,1.21272,0.599735,1.00462,0.386565
0.4410000000000001,1.4,1.21403,0.600059,1.00511,0.398375
0.46100000000000013,1.42,1.21443,0.600388,1.00647,0.410826
0.48100000000000015,1.44,1.21485,0.600789,1.00754,0.427516
0.5010000000000001,1.45,1.21469,0.600442,1.0083,0.445558
0.5210000000000001,1.47,1.21431,0.600441,1.00937,0.463832
0.5410000000000001,1.49,1.21479,0.600526,1.01084,0.482198
0.5610000000000002,1.51,1.21499,0.600554,1.01227,0.500651
0.5810000000000002,1.53,1.21508,0.600534,1.01333,0.51939
0.6010000000000002,1.55,1.21483,0.600686,1.01462,0.537952
0.6210000000000002,1.57,1.21517,0.600277,1.01604,0.556785
0.6410000000000002,1.59,1.2152,0.600719,1.0176,0.575562
0.6610000000000003,1.61,1.21567,0.600816,1.01936,0.594514
0.6810000000000003,1.63,1.2158,0.600554,1.02142,0.613272
0.7010000000000003,1.65,1.21551,0.600897,1.02365,0.632368
0.7210000000000003,1.67,1.21632,0.600924,1.02539,0.651427
0.7410000000000003,1.69,1.21656,0.600919,1.02755,0.670588
0.7610000000000003,1.72,1.21606,0.600982,1.03011,0.689633
0.7810000000000004,1.75,1.21625,0.600929,1.03279,0.708798
0.8010000000000004,1.76,1.21643,0.600976,1.03497,0.721212
0.8210000000000004,1.76,1.21581,0.600572,1.03686,0.720087
0.8410000000000004,1.76,1.21491,0.600137,1.03873,0.718439
0.8610000000000004,1.76,1.21391,0.600186,1.04032,0.716559
0.8810000000000004,1.76,1.21319,0.599596,1.04161,0.714557
0.9010000000000005,1.76,1.21174,0.59903,1.04356,0.712895
0.9210000000000005,1.77,1.21073,0.598644,1.04514,0.710557
0.9410000000000005,1.76,1.20974,0.598393,1.04747,0.708564
0.9610000000000005,1.76,1.2086,0.597817,1.04909,0.706138
0.9810000000000005,1.76,1.20654,0.597381,1.05095,0.703604
