"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Mirrored Current [V]"
0.001,0.36,0.000240445,0.00171502,0.383958,0.101815
0.021,0.62,0.834231,0.411514,0.878719,0.0160709
0.041,1.14,1.08318,0.535126,1.16308,0.030814
0.061,1.18,1.06118,0.524081,1.14469,0.0495599
0.081,1.18,1.00813,0.497306,1.12968,0.0667727
0.101,1.19,1.01228,0.500947,1.10545,0.0904096
0.12100000000000001,1.19,1.03484,0.510702,1.08182,0.115612
0.14100000000000001,1.19,1.04916,0.518765,1.05368,0.146992
0.161,1.21,1.0541,0.52083,1.02072,0.188995
0.181,1.21,1.08765,0.538275,1.0087,0.207794
0.20099999999999998,1.23,1.10704,0.547287,1.00051,0.229915
0.22099999999999997,1.24,1.12009,0.553388,0.998084,0.252008
0.24099999999999996,1.26,1.13473,0.561968,0.998473,0.269215
0.26099999999999995,1.28,1.15219,0.568843,0.99898,0.286116
0.28099999999999997,1.29,1.16645,0.576043,0.999125,0.301131
0.301,1.31,1.17873,0.583358,0.999558,0.317497
0.321,1.32,1.18902,0.58771,1.0001,0.33089
0.341,1.34,1.19564,0.59143,1.00061,0.342642
0.36100000000000004,1.35,1.20245,0.59465,1.00077,0.354658
0.38100000000000006,1.36,1.2071,0.59691,1.00214,0.363812
0.4010000000000001,1.37,1.21071,0.598502,1.00225,0.372025
0.4210000000000001,1.38,1.21256,0.600112,1.00329,0.381871
0.4410000000000001,1.39,1.21411,0.600074,1.00365,0.394345
0.46100000000000013,1.4,1.21459,0.600534,1.00434,0.40946
0.48100000000000015,1.43,1.21428,0.600167,1.00564,0.427147
0.5010000000000001,1.46,1.21424,0.600335,1.00656,0.445364
0.5210000000000001,1.47,1.21463,0.600262,1.00765,0.463841
0.5410000000000001,1.49,1.21429,0.600603,1.00874,0.482356
0.5610000000000002,1.51,1.21403,0.599975,1.0095,0.500816
0.5810000000000002,1.53,1.21389,0.599928,1.01087,0.519384
0.6010000000000002,1.55,1.21449,0.60005,1.01196,0.538212
0.6210000000000002,1.57,1.21482,0.600424,1.01349,0.557013
0.6410000000000002,1.59,1.2148,0.600279,1.01512,0.574374
0.6610000000000003,1.59,1.21351,0.599665,1.01625,0.575408
0.6810000000000003,1.59,1.2134,0.599587,1.01738,0.574378
0.7010000000000003,1.6,1.21264,0.599125,1.01859,0.574052
0.7210000000000003,1.6,1.21269,0.598844,1.01961,0.573039
0.7410000000000003,1.6,1.21194,0.598407,1.02009,0.57192
0.7610000000000003,1.6,1.21091,0.597494,1.02052,0.571096
0.7810000000000004,1.6,1.21024,0.59745,1.02172,0.569313
0.8010000000000004,1.6,1.20988,0.597045,1.02304,0.568324
0.8210000000000004,1.6,1.20891,0.596672,1.02362,0.567134
0.8410000000000004,1.59,1.20788,0.595981,1.02439,0.565476
0.8610000000000004,1.6,1.20723,0.595347,1.02554,0.564489
0.8810000000000004,1.6,1.20698,0.595271,1.02701,0.562759
0.9010000000000005,1.6,1.20558,0.594513,1.02772,0.561825
0.9210000000000005,1.6,1.20474,0.59407,1.02945,0.559513
0.9410000000000005,1.59,1.20432,0.593917,1.03043,0.557778
0.9610000000000005,1.6,1.20346,0.59349,1.03187,0.556551
0.9810000000000005,1.59,1.20195,0.592876,1.03324,0.554837
