"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Mirrored Current [V]"
0.001,0.36,0.000247657,0.00400263,0.410638,0.0782596
0.021,0.75,0.829667,0.409206,0.865777,0.016748
0.041,0.98,1.08655,0.537328,1.15441,0.0306936
0.061,1.17,1.09554,0.541377,1.13905,0.0497577
0.081,1.18,1.04032,0.514291,1.12317,0.0672634
0.101,1.19,1.04352,0.515392,1.10138,0.0892692
0.12100000000000001,1.19,1.05673,0.522737,1.078,0.114532
0.14100000000000001,1.19,1.06437,0.526152,1.05073,0.144486
0.161,1.2,1.06908,0.531108,1.02045,0.184833
0.181,1.21,1.09623,0.5425,1.00932,0.206547
0.20099999999999998,1.22,1.11783,0.55278,1.00253,0.225555
0.22099999999999997,1.25,1.12829,0.558055,1.00027,0.250968
0.24099999999999996,1.27,1.14138,0.564268,1.0004,0.268686
0.26099999999999995,1.29,1.15462,0.570909,1.00107,0.285738
0.28099999999999997,1.3,1.16736,0.577617,1.00156,0.301405
0.301,1.32,1.18088,0.58373,1.00147,0.316364
0.321,1.33,1.19014,0.589049,1.00297,0.330572
0.341,1.34,1.19839,0.592455,1.003,0.344955
0.36100000000000004,1.35,1.20334,0.595111,1.00333,0.358302
0.38100000000000006,1.37,1.20715,0.597476,1.0041,0.369826
0.4010000000000001,1.38,1.21023,0.59831,1.00458,0.376823
0.4210000000000001,1.39,1.21291,0.599879,1.00554,0.384354
0.4410000000000001,1.4,1.21396,0.600327,1.00645,0.394649
0.46100000000000013,1.41,1.21494,0.60073,1.00756,0.409018
0.48100000000000015,1.43,1.21473,0.600495,1.00776,0.426639
0.5010000000000001,1.44,1.21531,0.600865,1.00941,0.444711
0.5210000000000001,1.48,1.21505,0.600392,1.01006,0.463126
0.5410000000000001,1.49,1.2146,0.600578,1.01121,0.481404
0.5610000000000002,1.52,1.21473,0.600404,1.01264,0.500074
0.5810000000000002,1.54,1.21571,0.600605,1.01367,0.5186
0.6010000000000002,1.55,1.21491,0.60064,1.01497,0.537608
0.6210000000000002,1.57,1.21506,0.600743,1.01687,0.556243
0.6410000000000002,1.58,1.2154,0.600529,1.01788,0.574993
0.6610000000000003,1.62,1.21574,0.600536,1.01998,0.593875
0.6810000000000003,1.64,1.21645,0.600733,1.02197,0.612861
0.7010000000000003,1.66,1.21618,0.600768,1.02406,0.631918
0.7210000000000003,1.68,1.21605,0.601059,1.02656,0.650852
0.7410000000000003,1.7,1.21629,0.601226,1.0289,0.670164
0.7610000000000003,1.73,1.21618,0.601076,1.03152,0.689337
0.7810000000000004,1.74,1.21627,0.60106,1.03394,0.70859
0.8010000000000004,1.77,1.21679,0.601384,1.03714,0.727859
0.8210000000000004,1.79,1.21746,0.601647,1.04038,0.747113
0.8410000000000004,1.81,1.21722,0.601827,1.04384,0.766688
0.8610000000000004,1.84,1.21669,0.602051,1.04818,0.786083
0.8810000000000004,1.86,1.21603,0.602223,1.05238,0.805386
0.9010000000000005,1.88,1.21582,0.602948,1.05691,0.825131
0.9210000000000005,1.9,1.21489,0.603004,1.06188,0.844617
0.9410000000000005,1.93,1.21286,0.603268,1.06738,0.864116
0.9610000000000005,1.96,1.21052,0.603662,1.07332,0.883692
0.9810000000000005,1.98,1.20715,0.604238,1.08024,0.902868
