"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Iref [V]","Vbg [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dIref [V]","dVbg [V]","dNTC [Ohm]"
0.001,0.01,-0.0018171049999999998,-0.002821163,-0.0033720269999999997,9.511237e-05,0.18725595,240693.49560000002,1e-06,1e-05,0.0002666817473787811,0.00026704905145122685,9.209884603511597e-05,2.937235520366048e-06,0.02733933478906354,39.558291250253404
0.021,0.8,0.12239460000000002,-0.02793644,0.8027043,0.00018295760000000002,0.34945076999999997,240163.5446,2.1000000000000002e-05,0.0008,0.0002335980308136178,1.037922925847609e-05,0.0001529026160665831,1.1214181378950483e-06,0.001346422626109651,151.12429429790458
0.041,1.06,0.6434882000000001,0.30865249999999994,1.0695210000000002,0.5855392,1.0514043,239066.03530000002,4.1e-05,0.0010600000000000002,0.0002138755713025767,0.00013366544055963534,0.0004016827106063023,0.00022927093143266974,0.0005408269686323088,281.10929059461716
0.061,1.08,0.6477993,0.31199849999999996,1.079073,0.5860628,1.0593188,237318.8682,6.1e-05,0.00108,0.0004751778719595461,0.00026809298759945376,0.0006165881932051738,0.000325691817520807,0.0005784912791045481,318.528262497007
0.081,1.08,0.6518290999999999,0.31387969999999993,1.085283,0.5868317,1.0656808999999998,235518.8091,8.1e-05,0.00108,0.00037754667261147827,0.0003417976155563432,0.0011065626959192042,0.000175392730750159,0.0007596351031910351,366.66101618891827
0.101,1.09,0.6561480000000001,0.31655310000000003,1.091967,0.5876041,1.0728672,233640.8862,0.000101,0.00109,0.000709235362908536,0.00018128841661839112,0.0009938314746474834,0.00029573990261715023,0.0008726218883342433,369.3280375457013
0.12100000000000001,1.1,0.6614118999999999,0.31986830000000005,1.103376,0.5879189,1.079033,231575.07060000004,0.00012100000000000001,0.0011,0.001077123618717925,0.00039518579174864206,0.0015851258625106165,0.00022076478432938974,0.0009843628396074054,353.3573998611587
0.14100000000000001,1.11,0.669556,0.32439300000000004,1.1185870000000002,0.5888045,1.0855748000000003,229413.7893,0.000141,0.00111,0.0007222478798861394,0.0002788053084143141,0.0019336548295908432,0.00021069231120285343,0.0004106611255037081,453.21855035601493
0.161,1.12,0.6777187,0.3282411,1.12812,0.5894600999999999,1.0882407,227317.3846,0.000161,0.0011200000000000001,0.000901471469321121,0.00037282501257292075,0.001282949726216927,0.00020097285886409023,0.00014920258040664297,399.0334251420997
0.181,1.14,0.9222395999999999,0.5200405,1.096592,0.5877325,1.0881284,224611.30690000003,0.000181,0.00114,0.1738476830896518,0.00039512561293847723,3.515679166247537e-05,0.00019691279795889768,0.00010571489961213188,607.598867908012
0.20099999999999998,1.25,1.1055059999999999,0.5421126000000001,1.0780290000000001,0.5889435999999999,1.0889586,221306.7547,0.00020099999999999998,0.00125,0.00033592261013516375,0.000352181260148802,4.1097445176082714e-05,0.00020419510278164393,0.00011573780713318481,515.7930290306499
0.22099999999999997,1.25,1.107263,0.5432600000000001,1.0604909999999999,0.5904308,1.0896705,218239.50760000004,0.00022099999999999998,0.00125,0.00033829129459681797,0.00011818375522886419,6.774215821777321e-05,0.00019609681282467734,7.19141849707349e-05,681.9760187945368
0.24099999999999996,1.25,1.1083319999999999,0.5442279999999999,1.042801,0.5914539999999999,1.0906569,215160.6022,0.00024099999999999998,0.00125,0.00041980471650517856,0.00019031762924121698,4.18210473326705e-05,0.00024254813955171324,0.00013042426921397205,448.07990836720296
0.26099999999999995,1.25,1.1096030000000001,0.5451473,1.025584,0.5922158999999999,1.0914913000000002,212871.77719999998,0.00026099999999999995,0.00125,0.0004247599321969988,0.0001800111385442484,3.7735924528245326e-05,0.0003237299646310106,0.00012440341635179162,514.7531955968416
0.28099999999999997,1.25,1.111928,0.5465219,1.0082719999999998,0.5932758,1.0920774,210549.8273,0.000281,0.00125,0.00034967985358036355,0.00017821473003093224,3.682390527903916e-05,0.00025722394911825214,0.0001020315637437906,425.7774406891574
0.301,1.25,1.1137569999999999,0.5475657,0.9910057,0.5945291,1.093014,207823.4509,0.000301,0.00125,0.0002856938921293622,0.00020352103085431007,2.3104328598770028e-05,0.0003823258950162907,7.820358048068393e-05,504.871721698978
0.321,1.25,1.1144859999999999,0.5488333999999999,0.9738181000000001,0.5953284,1.0939632,205021.3545,0.000321,0.00125,0.00036919371608956777,0.00010914962207904804,7.798134392274395e-05,0.00028085804243424767,7.942518492266756e-05,546.9809632931014
0.341,1.26,1.115929,0.5500206999999999,0.9570143,0.5965509,1.0950296000000002,202411.6704,0.00034100000000000005,0.00126,0.00036322031881493515,0.0001807318732266189,8.188412544565921e-05,0.00021547085649803671,0.00013783410318205967,636.8128728843647
0.36100000000000004,1.26,1.116679,0.5503503,0.9402777999999999,0.5966461,1.0956091,199834.8675,0.00036100000000000005,0.00126,0.00022744010200489255,0.00016617824767400244,0.00010238730390042741,0.00028678579114035067,9.091364034068128e-05,382.26451872263715
0.38100000000000006,1.26,1.118134,0.5516983,0.9249059000000001,0.5980484,1.0963511000000001,197697.4095,0.00038100000000000005,0.00126,0.0004005296493394461,0.00014239455748026603,0.00011340586404591076,0.0002410627304250966,7.853082197454207e-05,496.3067927083438
0.4010000000000001,1.26,1.120346,0.5529839,0.9112221,0.5990095999999999,1.0973799,194902.45190000001,0.0004010000000000001,0.00126,0.0002056793621148957,0.00019040086659464724,0.0001113916065060543,0.0001635617314655009,0.00011966156442230878,340.04532388299486
0.4210000000000001,1.28,1.120858,0.5535414000000001,0.9039347,0.5998549,1.098341,192541.94069999998,0.0004210000000000001,0.00128,0.0003565052594282716,0.00020661906978786175,0.00019305183241812173,0.00016412583586992212,0.00012863669771882524,326.8949594915924
0.4410000000000001,1.29,1.121875,0.5543748,0.9028714000000001,0.6004874,1.0989574,190026.63760000002,0.00044100000000000015,0.0012900000000000001,0.0002140677462860324,0.0001602546723187628,0.00017150346935267623,0.00022397196253102112,6.127838117964119e-05,625.7564402916233
0.46100000000000013,1.3,1.122731,0.5548532,0.9044197,0.6015083,1.1000552999999997,187859.4496,0.00046100000000000015,0.0013000000000000002,0.0003517513326200564,0.00016463948493604093,0.0001591948805709456,0.00020586891460342604,0.00011161635184865498,753.2854923889349
0.48100000000000015,1.33,1.1236770000000003,0.5556672,0.906555,0.6019612000000001,1.1012198,184156.5494,0.00048100000000000014,0.00133,0.00023238115241986125,0.0001236250783619417,0.0002749658160571868,0.00015353944118694996,0.00010420153549732338,854.4164310947202
0.5010000000000001,1.36,1.124738,0.5562291,0.9091274,0.6032667,1.1021632,181417.2189,0.0005010000000000001,0.00136,0.0002940340116381393,0.0001834330668118529,0.0002257902566542637,0.00013548878182343755,5.744179662929248e-05,606.987328040453
0.5210000000000001,1.37,1.125519,0.5570402,0.9108426999999999,0.6043414,1.1031942,178703.83880000003,0.0005210000000000001,0.0013700000000000001,0.0003113021040725672,0.00010499504750223456,0.00021075817896347023,0.0001427915963913838,0.00017932417572651973,539.9815151222913
0.5410000000000001,1.39,1.1272,0.5581872,0.913477,0.6054418000000001,1.1041136999999999,175603.5746,0.0005410000000000001,0.00139,0.00025262620608322654,0.00011545977654576468,0.00016606745617367972,0.00012353121063116864,0.00012318120798239377,756.2528324990504
0.5610000000000002,1.42,1.128536,0.5588377999999999,0.916,0.6064161,1.1051376999999998,172496.36229999998,0.0005610000000000002,0.00142,0.0002773878151613675,0.00010661594627447124,0.0002339072465743544,0.00016315602961583671,4.877714628797468e-05,672.2163596094725
0.5810000000000002,1.44,1.130258,0.5601273,0.9190241,0.6075153999999999,1.1062850000000002,169392.7875,0.0005810000000000002,0.0014399999999999999,0.00022243201208464706,0.00015092716786584698,0.00024395099917810204,6.27426489718234e-05,0.00011809403033179935,561.6134969489639
0.6010000000000002,1.46,1.1315750000000002,0.5609333000000001,0.9213463000000001,0.6087162000000002,1.1073540000000002,165990.4025,0.0006010000000000002,0.00146,0.0003537018518470113,7.484390422739695e-05,0.00017410000000000198,0.00011344408314231258,8.998333178981441e-05,654.8108629983573
0.6210000000000002,1.48,1.1321530000000002,0.5615120000000001,0.9237564,0.6098493,1.1084972,162533.57419999997,0.0006210000000000002,0.00148,0.0003826761032518254,6.64800722021242e-05,0.00011927631785059284,0.00010303887615845086,0.0001302887562301557,758.1184564870828
0.6410000000000002,1.5,1.1320899999999998,0.5619354,0.9261349000000001,0.6104612,1.1095311,160448.682,0.0006410000000000003,0.0015,0.00037603191353926326,0.00015459120285450407,0.0001658803484443058,8.126352195173919e-05,8.389332512185783e-05,532.214340653091
0.6610000000000003,1.52,1.134806,0.5634557,0.9290375,0.6120896,1.1106188000000001,157877.1757,0.0006610000000000002,0.00152,0.00023938253904577037,0.00010515897489040821,0.00020865965110674324,6.714491790149288e-05,9.168620397859824e-05,334.6211905546518
0.6810000000000003,1.55,1.136458,0.5641768,0.9312137,0.6129905000000001,1.1115552,155173.83800000002,0.0006810000000000003,0.0015500000000000002,0.0003149857139617458,8.114160461810949e-05,0.0002250662346954737,0.00018475294314299593,7.836427757595771e-05,739.4656896649099
0.7010000000000003,1.57,1.1373840000000002,0.5648057000000001,0.9333814,0.6139193000000001,1.1128310000000001,151666.75059999997,0.0007010000000000003,0.00157,0.0002658646272071364,4.155009025262122e-05,0.00019787076590543047,0.00014103194673548426,8.596627245614294e-05,668.1871181986667
0.7210000000000003,1.59,1.1389489999999998,0.5659429000000001,0.9364185,0.6153527999999999,1.1139093999999998,147768.3952,0.0007210000000000003,0.00159,0.0002715308453932805,0.0001047381974257596,0.00028114062317637756,9.067612695744544e-05,8.890466804387506e-05,953.556944860957
0.7410000000000003,1.61,1.140056,0.5667704,0.9393385000000001,0.6165140000000001,1.1150727,144976.8019,0.0007410000000000003,0.00161,0.0003319096262538959,0.00017324156545125494,0.0003075165849186049,9.307416397689918e-05,0.00010742909289387337,804.0302124862535
0.7610000000000003,1.63,1.1420160000000001,0.5678337,0.9424408,0.6175661000000001,1.1163573,142048.7314,0.0007610000000000004,0.00163,0.0002166656410232094,0.00010515136708573037,0.00017064044069328395,0.00014513266344969532,7.727878104632743e-05,527.1086292418655
0.7810000000000004,1.65,1.143544,0.5688875,0.9453257,0.6187872999999999,1.1175977,139201.1696,0.0007810000000000003,0.00165,0.00021620360774051638,0.00011475735270562156,0.0001007631381011883,0.0001255627731455358,5.7941435950442575e-05,876.7529220473918
0.8010000000000004,1.68,1.144779,0.5696646999999999,0.9476971000000001,0.6196738,1.1189502,136174.96870000003,0.0008010000000000004,0.00168,0.00012980369794426846,0.00014256510793320118,0.00015530837066944246,8.710430528969523e-05,8.933621885885381e-05,1127.9632869448392
0.8210000000000004,1.71,1.1468779999999998,0.5709481000000001,0.9516511000000001,0.6211102000000001,1.1202788,131650.1841,0.0008210000000000004,0.00171,0.00015708596372688373,0.00011005857531333267,0.00022643694486545614,0.00011866237819966692,7.969918443744471e-05,538.7088082248978
