"Input current [A]","Input voltage [V]","VDD [V]","Vrefpre [V]","Voutpre [V]","Vbandgap [V]","dIin [A]","dVin [V]","dVDD [V]","dVrefpre [V]","dVoutpre [V]","dVbandgap [V]"
0.001,0.35,0.0002626825,0.13650275,0.31159594999999995,0.01108303,1e-06,0.00035,1.2262598678502037e-05,7.598610070269304e-05,0.0003412271201120977,5.8515614155539506e-05
0.021,0.84,0.7804545,0.45302359999999997,0.8108217999999999,0.42184435000000003,2.1000000000000002e-05,0.00084,0.002295756247949686,0.0002580504601817274,0.00017774774260169386,7.865511744317668e-05
0.041,1.01,0.8995010499999999,0.55379595,1.0066769999999998,0.43985614999999995,4.1e-05,0.00101,0.00020044736840376607,6.638635025363908e-05,0.0002692043833224149,3.67943949535835e-05
0.061,1.17,1.1494659999999999,0.55186025,1.1115285,0.44305445,6.1e-05,0.00117,4.042276586282267e-05,3.3157012832885194e-05,0.00010470315181504066,3.789257842902929e-05
0.081,1.19,1.1993200000000002,0.5521326000000001,1.1123869999999998,0.44315519999999997,8.1e-05,0.0011899999999999999,9.643650760992008e-05,5.522445110638268e-05,7.912648102878729e-05,4.3075050783490596e-05
0.101,1.2,1.2011185,0.5522321000000001,1.1118765,0.443065,0.000101,0.0012,0.0001536969420645848,5.857806756798934e-05,0.00011091776232866845,2.327659768952704e-05
0.12100000000000001,1.21,1.2039459999999997,0.5524514999999999,1.112284,0.44309505,0.00012100000000000001,0.00121,0.00013005383500689488,5.8212971063150745e-05,0.0002021979228380259,5.226707854854288e-05
0.14100000000000001,1.22,1.2068920000000003,0.5528981,1.109308,0.44309515,0.000141,0.00122,0.00021962695645115097,4.1890213654257555e-05,0.00017209299811440088,1.8150137740523107e-05
0.161,1.22,1.209843,0.5530923499999999,1.1097540000000001,0.44306520000000005,0.000161,0.00122,0.0002138013096311519,3.9059281867430526e-05,8.627861844049615e-05,2.7345200675807975e-05
0.181,1.23,1.2128145,0.5532000499999999,1.1097439999999996,0.44309265,0.000181,0.00123,0.0002072552773755048,2.8182396988187226e-05,9.356281312573464e-05,4.1559926612062714e-05
0.20099999999999998,1.23,1.2136109999999998,0.55328365,1.109867,0.44316525,0.00020099999999999998,0.00123,0.00031255239560752375,5.932560577018579e-05,8.88313007897437e-05,3.022561000211429e-05
0.22099999999999997,1.24,1.2149094999999999,0.55342495,1.1102790000000002,0.443199,0.00022099999999999998,0.00124,0.00015724105697939586,5.073901358915243e-05,0.00010880716888145968,2.6288780877022217e-05
0.24099999999999996,1.25,1.2158200000000001,0.5534727999999999,1.1143895,0.44346310000000005,0.00024099999999999998,0.00125,0.0003387476937190881,3.576954011446626e-05,9.494603730539552e-05,2.9419211410233623e-05
0.26099999999999995,1.25,1.2160615,0.55358895,1.1145944999999997,0.4434577,0.00026099999999999995,0.00125,0.00020048129588568593,4.750523655346795e-05,0.0001001236735243027,3.099693533238023e-05
0.28099999999999997,1.26,1.2157795,0.5538436500000001,1.1148700000000002,0.4435816,0.000281,0.00126,0.00026532008970299394,4.668969372356281e-05,9.348796714017469e-05,3.5822339398757664e-05
0.301,1.27,1.2159925,0.5541801000000001,1.1153605,0.4436947,0.000301,0.00127,0.000317740066721223,2.1787381669227954e-05,0.00012753332897718692,2.9575496614592396e-05
0.321,1.29,1.2152775000000002,0.5544158000000001,1.1160189999999999,0.44373190000000007,0.000321,0.0012900000000000001,0.00021454311920916067,4.4291759956006056e-05,7.509327533146083e-05,2.373373127007127e-05
0.341,1.3,1.215735,0.5546037,1.116147,0.4438539,0.00034100000000000005,0.0013000000000000002,0.00024065535522818377,4.3946672228968016e-05,0.00013874797295814514,3.541030923332662e-05
0.36100000000000004,1.32,1.2160844999999998,0.55488615,1.116683,0.44395565000000003,0.00036100000000000005,0.00132,0.00033297860291615764,4.7258094544742986e-05,0.00013546586285851105,3.9063121995048105e-05
0.38100000000000006,1.33,1.2157695,0.55522875,1.115002,0.44406415,0.00038100000000000005,0.00133,0.00032955234789026953,3.9458680920669615e-05,0.00010712609392671443,2.1583037321011983e-05
0.4010000000000001,1.35,1.2151175,0.5555905499999999,1.1158,0.4442113,0.0004010000000000001,0.00135,0.0003304977307032516,5.4320783315411377e-05,8.654478609367262e-05,2.0206682063119562e-05
0.4210000000000001,1.37,1.2159919999999997,0.5559228999999999,1.116078,0.4443465,0.0004210000000000001,0.0013700000000000001,0.0002991588206956079,5.343117067779879e-05,0.0001228250788723586,2.938622126099073e-05
0.4410000000000001,1.39,1.2159659999999999,0.55618405,1.118422,0.44441805,0.00044100000000000015,0.00139,0.0002779820138066562,3.5049215397772e-05,9.594790253048258e-05,2.1411387157305566e-05
0.46100000000000013,1.41,1.2156420000000001,0.5564606999999999,1.1182835,0.4445048,0.00046100000000000015,0.00141,0.00021939917957911745,3.956526254178042e-05,0.00041867977023020626,2.657178955207973e-05
0.48100000000000015,1.43,1.2158369999999998,0.5566482500000001,1.1191610000000003,0.44464205,0.00048100000000000014,0.00143,0.0003086924035346389,4.402712232250159e-05,0.00010931148155613886,2.5642689016557073e-05
0.5010000000000001,1.45,1.216089,0.5570375,1.119725,0.44472259999999986,0.0005010000000000001,0.00145,0.0001845778968349139,5.368845313472747e-05,0.00019051246678366117,3.200687426164336e-05
0.5210000000000001,1.46,1.2159905,0.5573236000000001,1.1212189999999997,0.44491499999999995,0.0005210000000000001,0.00146,0.0003167092515226086,3.803472097964652e-05,0.0001459075049474694,2.1445279200795464e-05
0.5410000000000001,1.49,1.2160870000000001,0.55764785,1.1213085,0.44502959999999997,0.0005410000000000001,0.00149,0.00013323287882501303,6.173432999555528e-05,0.000153631865184294,3.139649661983739e-05
0.5610000000000002,1.51,1.216348,0.5580119499999999,1.1214715,0.4451275499999999,0.0005610000000000002,0.00151,0.0002641514716975794,4.7585160501988205e-05,8.753713497709615e-05,2.6626068053701165e-05
0.5810000000000002,1.53,1.215747,0.558277,1.1220815,0.44532375,0.0005810000000000002,0.0015300000000000001,0.00018401358645492,3.342304594138614e-05,0.00010720424431897171,2.7518857171038945e-05
0.6010000000000002,1.55,1.2165905000000001,0.5587609500000001,1.122567,0.44545650000000003,0.0006010000000000002,0.0015500000000000002,0.00014461932789221077,2.568749695863806e-05,0.00015083434622130404,2.6375177724517873e-05
0.6210000000000002,1.57,1.2162795,0.5590485,1.123218,0.4456029499999999,0.0006210000000000002,0.00157,0.00014897902536935376,4.560756516193679e-05,9.962931295557784e-05,2.17059323688255e-05
0.6410000000000002,1.59,1.2164415,0.55940525,1.124052,0.44571995,0.0006410000000000003,0.00159,0.00043866017599047323,4.1187224961154045e-05,7.794870107960113e-05,2.4880665184033803e-05
0.6610000000000003,1.62,1.2168439999999998,0.5596866,1.124711,0.4458516,0.0006610000000000002,0.0016200000000000001,0.00024212393520674482,4.722435812163197e-05,0.0001069532608198552,2.586967336476889e-05
0.6810000000000003,1.64,1.2168565,0.5600007,1.1252185,0.44601094999999996,0.0006810000000000003,0.00164,0.00024298713957737457,3.7483463020374036e-05,7.23377494811702e-05,3.824326738133064e-05
0.7010000000000003,1.65,1.2164430000000002,0.5603252000000001,1.1258040000000002,0.44611419999999996,0.0007010000000000003,0.00165,0.00023499148920758158,5.1600968983159316e-05,7.17913643831883e-05,3.079707778345394e-05
0.7210000000000003,1.67,1.2173245,0.56080865,1.126589,0.44621769999999994,0.0007210000000000003,0.00167,0.0002229680470381336,2.5302717245386354e-05,6.647555941849047e-05,2.3679315868497978e-05
0.7410000000000003,1.7,1.2170260000000002,0.5610778999999999,1.1268785,0.44637294999999994,0.0007410000000000003,0.0017,0.00019189580506095844,3.890231355588583e-05,7.199131892108371e-05,2.5513672804990883e-05
0.7610000000000003,1.73,1.2174070000000001,0.56144885,1.1274425,0.44644475000000006,0.0007610000000000004,0.00173,0.00019804292464011014,4.2174962951962194e-05,0.00010558764132227272,4.096568686107997e-05
0.7810000000000004,1.75,1.2176925,0.5617578000000001,1.1280670000000002,0.44649455000000005,0.0007810000000000003,0.00175,0.0002150087207533861,3.412858039825039e-05,6.28569805192812e-05,2.6152389948151195e-05
0.8010000000000004,1.76,1.217199,0.5619794499999999,1.1283905,0.44654439999999995,0.0008010000000000004,0.00176,0.00018904761305027975,4.003183108476086e-05,7.338085581403034e-05,2.0470466531079135e-05
0.8210000000000004,1.76,1.2167670000000002,0.5619683,1.1287935,0.44641345,0.0008210000000000004,0.00176,0.0002730219771373658,2.8903460000479915e-05,0.00013081571006571526,1.9991185557638013e-05
0.8410000000000004,1.76,1.21535,0.5620091,1.1288899999999997,0.44620994999999997,0.0008410000000000004,0.00176,0.00023653752345029387,4.179700946240402e-05,9.659192512833972e-05,1.967352281621588e-05
0.8610000000000004,1.76,1.214511,0.56205195,1.1290615000000002,0.44594300000000003,0.0008610000000000004,0.00176,0.00020245740292712143,3.208500428549618e-05,0.0001192591715550657,3.1446780439337535e-05
0.8810000000000004,1.76,1.2127655000000002,0.5619242500000001,1.1293875,0.4457616,0.0008810000000000005,0.00176,0.0002065302641260839,4.9804492769216876e-05,8.425408001988541e-05,3.9539094577391426e-05
0.9010000000000005,1.76,1.2118125000000002,0.5618757999999999,1.1291839999999997,0.44549959999999994,0.0009010000000000004,0.00176,0.00019083697230883615,3.8666005741480525e-05,6.696267617112883e-05,2.2736314565035312e-05
0.9210000000000005,1.76,1.2104545000000002,0.5617942499999999,1.1292344999999997,0.44525495,0.0009210000000000005,0.00176,0.00019270378823469086,3.820454815855422e-05,7.412658092747588e-05,3.345665105774523e-05
0.9410000000000005,1.76,1.208561,0.5617616,1.129076,0.44505665,0.0009410000000000005,0.00176,0.00020897128989410196,3.37940823222164e-05,0.00019058856209121645,2.205963508311296e-05
0.9610000000000005,1.76,1.206661,0.5615935999999999,1.1283625000000002,0.4447413,0.0009610000000000006,0.00176,0.00016385664466235845,2.816984203009528e-05,8.293823002690337e-05,3.055012274933796e-05
0.9810000000000005,1.76,1.2044454999999998,0.56138745,1.1279885,0.44443935,0.0009810000000000005,0.00176,0.00019602232015768589,3.0332284780411977e-05,6.657890056167272e-05,3.3928269923471796e-05
