"Input current [A]","Input voltage [V]","VDD [V]","Vrefpre [V]","Voutpre [V]","Vbandgap [V]","dIin [A]","dVin [V]","dVDD [V]","dVrefpre [V]","dVoutpre [V]","dVbandgap [V]"
0.001,0.03,3.3782115000000004e-05,0.054318925000000004,0.20081335000000006,0.00010930544999999999,1e-06,3e-05,1.3556337594360617e-05,0.009825223782432389,0.0029877229000528174,9.520605797426965e-07
0.021,0.72,0.7462266000000001,0.48699860000000006,0.8544487499999999,0.42949194999999996,2.1000000000000002e-05,0.0007199999999999999,0.00014490010351962405,6.54647997018232e-05,4.0103459950489397e-05,3.86050191037365e-05
0.041,1.1,0.89737115,0.5508909,1.1090499999999999,0.4425714,4.1e-05,0.0011,0.00022713306122183305,5.5554387765510406e-05,0.00015693947878083405,3.209267829272747e-05
0.061,1.19,1.1592115,0.55123345,1.107557,0.44243829999999995,6.1e-05,0.0011899999999999999,5.9184035009453054e-05,4.192549940071979e-05,0.0003428716961196902,2.1580315104281765e-05
0.081,1.2,1.2039605000000002,0.5515920000000001,1.1089870000000002,0.4426429499999999,8.1e-05,0.0012,6.895469527159831e-05,5.331510105026276e-05,0.0002570038910211186,4.210638312655518e-05
0.101,1.21,1.2038389999999999,0.55160075,1.1099379999999999,0.44265039999999994,0.000101,0.00121,7.582216034906395e-05,5.669909611272605e-05,9.086253353279554e-05,3.2111368703308313e-05
0.12100000000000001,1.21,1.2044235,0.5516627999999999,1.1100794999999999,0.44277929999999993,0.00012100000000000001,0.00121,9.355613288289464e-05,4.2687937406250516e-05,7.768365336411975e-05,3.7446094589429124e-05
0.14100000000000001,1.21,1.2063195,0.5518397500000001,1.1114244999999998,0.44281945,0.000141,0.00121,0.00014735925488409547,3.768006767508697e-05,0.0001910098165016618,2.7396121988338644e-05
0.161,1.21,1.2087080000000001,0.5519684,1.110722,0.44284025,0.000161,0.00121,0.00019850944561911047,4.66534028769507e-05,0.0004270199058591905,3.389966813996953e-05
0.181,1.22,1.2117170000000002,0.5522721500000001,1.110563,0.44292065,0.000181,0.00122,0.0002658401775503606,6.809205166536968e-05,0.00010995908329918207,4.798882682458121e-05
0.20099999999999998,1.23,1.2144169999999999,0.55256235,1.1110419999999999,0.44300930000000005,0.00020099999999999998,0.00123,0.0002441945945347886,6.737230514091017e-05,9.801020355047349e-05,3.893340468029491e-05
0.22099999999999997,1.24,1.2160870000000001,0.5527582500000001,1.11139,0.44307274999999996,0.00022099999999999998,0.00124,0.00022838782804690744,2.9867833868568908e-05,0.00012087183294714933,2.9310194472238913e-05
0.24099999999999996,1.24,1.2166574999999997,0.552859,1.1123309999999997,0.44317329999999994,0.00024099999999999998,0.00124,0.0003512104070212149,4.811548607256834e-05,0.00011188833719382544,3.181681945135695e-05
0.26099999999999995,1.25,1.2162275,0.5531572499999999,1.112037,0.44321610000000006,0.00026099999999999995,0.00125,0.0003098366505112169,4.7625492123441044e-05,0.0001205860688471443,2.1526495302297803e-05
0.28099999999999997,1.26,1.2160639999999998,0.5533321499999999,1.113016,0.44336149999999996,0.000281,0.00126,0.00031757518794768395,3.7089452678618105e-05,0.00020015993605114915,3.615452945344504e-05
0.301,1.27,1.2164555,0.55352285,1.1131799999999998,0.44334405,0.000301,0.00127,0.0004069456351897899,4.8269322555843846e-05,7.861297602812101e-05,3.515320042328903e-05
0.321,1.28,1.216224,0.5537828499999999,1.1133715,0.443331,0.000321,0.00128,0.00037312732411334495,4.21132698801622e-05,8.730836156978533e-05,2.7978563222587633e-05
0.341,1.3,1.2159335,0.5540361500000001,1.113983,0.44354974999999996,0.00034100000000000005,0.0013000000000000002,0.00027882386913608345,4.081087477621964e-05,8.826664149041741e-05,3.0799147715485197e-05
0.36100000000000004,1.32,1.215866,0.55441965,1.1154445,0.4437402,0.00036100000000000005,0.00132,0.0002540354305997702,5.029043149545963e-05,9.957283766168379e-05,2.4796370702186207e-05
0.38100000000000006,1.33,1.2154819999999997,0.55458955,1.1160575,0.4437962000000001,0.00038100000000000005,0.00133,0.00018720576914184114,5.0147258150375364e-05,7.333996182164967e-05,3.265363685717428e-05
0.4010000000000001,1.34,1.2154099999999999,0.5549497,1.1168200000000001,0.4440092000000001,0.0004010000000000001,0.00134,0.00031984371183437307,3.9753113085637355e-05,5.744562646536236e-05,2.777696887710599e-05
0.4210000000000001,1.36,1.214722,0.5552705,1.1170769999999999,0.4441258500000001,0.0004210000000000001,0.00136,0.0002774274679983891,3.1549167976346075e-05,0.0001070093453862535,2.805935672819189e-05
