"Input current [A]","Input voltage [V]","VDD [V]","Vrefpre [V]","Voutpre [V]","Vbandgap [V]","dIin [A]","dVin [V]","dVDD [V]","dVrefpre [V]","dVoutpre [V]","dVbandgap [V]"
0.001,0.38,0.0002576792,0.13929125,0.2952099,0.0065575675,1e-06,0.00038,1.4061964367043464e-05,0.00021233955707780983,0.0003809995931756388,3.442061371838111e-05
0.021,0.82,0.785662,0.45538360000000006,0.8120778500000002,0.42202445000000005,2.1000000000000002e-05,0.00082,0.0021103285052332427,0.0003370764601688973,0.0004086221084327281,5.9279401987532975e-05
0.041,0.92,0.8975542500000001,0.55512145,1.00026285,0.43962969999999996,4.1e-05,0.00092,0.00013745649311690413,6.982798507761892e-05,0.0003631663909284487,2.9404251393294665e-05
0.061,1.13,1.1485279999999998,0.5526620499999999,1.1084390000000002,0.44298115000000005,6.1e-05,0.00113,3.355592347114701e-05,5.532944514451828e-05,0.00014652303573158815,2.476544972335085e-05
0.081,1.2,1.198573,0.5526642500000001,1.1082850000000002,0.44295015,8.1e-05,0.0012,0.00011099999999999054,6.238579565894243e-05,0.00011083771921148194,2.4372679376713682e-05
0.101,1.2,1.2006285,0.55286345,1.1087909999999999,0.4430476,0.000101,0.0012,0.00014994248897494552,4.5169098950501216e-05,9.606768447300529e-05,2.3504042205534458e-05
0.12100000000000001,1.2,1.204142,0.5531085999999997,1.108959,0.44308065,0.00012100000000000001,0.0012,0.00017457376664321167,6.133221013464928e-05,0.00010265963179361689,3.136921261364378e-05
0.14100000000000001,1.22,1.208371,0.5531703000000001,1.1094045000000001,0.443199,0.000141,0.00122,0.0002971683024819461,4.37311102077303e-05,0.00010566338060083012,2.806243040080453e-05
0.161,1.22,1.2114885,0.55337115,1.109604,0.44319765,0.000161,0.00122,0.0001492070708780253,6.039890313573206e-05,0.00011551623262556844,3.2427264762856726e-05
0.181,1.23,1.2140374999999999,0.55353155,1.1100920000000003,0.44325855000000003,0.000181,0.00123,0.0004089972493794964,5.750084781983542e-05,0.00010486181383134542,4.003183108477438e-05
0.20099999999999998,1.23,1.2142435,0.5536187499999999,1.1104075000000002,0.44323860000000004,0.00020099999999999998,0.00123,0.000525835287899161,5.507801285449323e-05,7.549006557156052e-05,2.714295488704218e-05
0.22099999999999997,1.24,1.2157624999999999,0.55370455,1.110583,0.44329685,0.00022099999999999998,0.00124,0.0002651013956960373,3.746528393060656e-05,0.00010932062934323949,3.254884790587903e-05
0.24099999999999996,1.24,1.2149634999999999,0.5538571,1.110618,0.44345045,0.00024099999999999998,0.00124,0.00025992835551356193,5.0579541318602246e-05,0.00011914696806882694,3.240752227492942e-05
0.26099999999999995,1.25,1.2152275,0.5541316,1.111315,0.443489,0.00026099999999999995,0.00125,0.0002640620192303271,4.7907619435748165e-05,7.406078584514608e-05,2.1144739298462248e-05
0.28099999999999997,1.26,1.2151525,0.55439745,1.1113145000000002,0.44349029999999995,0.000281,0.00126,0.0002882338460347648,3.8915902918985553e-05,0.00010365688592659735,4.611409762751918e-05
0.301,1.27,1.2147134999999998,0.5545771,1.1119385000000002,0.4436161500000001,0.000301,0.00127,0.0001980220947268101,4.2271621686426706e-05,6.77698310459508e-05,2.66688488690505e-05
