"Input current [A]","Input voltage [V]","VDD [V]","Vrefpre [V]","Voutpre [V]","Vbandgap [V]","dIin [A]","dVin [V]","dVDD [V]","dVrefpre [V]","dVoutpre [V]","dVbandgap [V]"
0.001,0.34,0.00025696035000000004,0.13999644999999997,0.29997280000000004,0.007643423000000001,1e-06,0.00034,1.4236903070102706e-05,0.0002545903523309572,0.000246178715570617,3.7836868805439e-05
0.021,0.66,0.7875547,0.4552523,0.8121089999999999,0.42192945000000004,2.1000000000000002e-05,0.00066,0.0012803514400351185,0.00019977940334278696,0.0003352420021417452,6.389794597637356e-05
0.041,1.0,0.8984363,0.55498645,0.9975552499999999,0.43953274999999997,4.1e-05,0.001,0.0002089210616477065,2.1176579043850268e-05,0.0002724136331023189,2.5085603441018672e-05
0.061,1.15,1.148271,0.5524909000000001,1.1092445,0.44304224999999997,6.1e-05,0.00115,4.93862328994745e-05,5.165452545517097e-05,0.00011092677765082484,2.3978896972129133e-05
0.081,1.2,1.1985455,0.5526096500000001,1.1089814999999998,0.44304275000000004,8.1e-05,0.0012,0.0001295173733519979,5.1637462176224965e-05,0.00012550995976416085,3.322329754856051e-05
0.101,1.2,1.2005899999999998,0.55273735,1.1092840000000002,0.4431215999999999,0.000101,0.0012,0.00012755391017135552,5.0351042690300974e-05,6.59848467452994e-05,4.465579469676743e-05
0.12100000000000001,1.21,1.2036425,0.5527873000000001,1.1094420000000003,0.44310335,0.00012100000000000001,0.00121,0.0001322828409129469,3.807111766155939e-05,0.00010027960909378156,3.150123013470674e-05
0.14100000000000001,1.22,1.2072450000000001,0.5528829,1.109827,0.44322035,0.000141,0.00122,0.000241795368028401,4.407822591710526e-05,6.535288822996294e-05,2.607925420712819e-05
0.161,1.22,1.2108395,0.553067,1.1098189999999997,0.44321875000000005,0.000161,0.00122,0.0002305531392108986,4.846751489400145e-05,7.719455939377297e-05,2.4227824912694377e-05
0.181,1.22,1.2129070000000002,0.5531829500000001,1.110253,0.44330515000000004,0.000181,0.00122,0.00034275501455121584,4.9526230423895594e-05,0.00011104503590887329,2.570851026411124e-05
0.20099999999999998,1.23,1.2146715,0.5533102999999999,1.1104595,0.4432503499999999,0.00020099999999999998,0.00123,0.0002497253491338326,3.20345126386969e-05,9.06904074309827e-05,3.647091306781676e-05
0.22099999999999997,1.24,1.2146994999999998,0.5534593999999999,1.1105925,0.44338449999999996,0.00022099999999999998,0.00124,0.00024565168430115865,4.926398278661194e-05,8.722814912628929e-05,2.6333438818355693e-05
0.24099999999999996,1.24,1.2152345000000002,0.5536236999999999,1.11081,0.44350980000000007,0.00024099999999999998,0.00124,0.00023092152346629866,3.46440471076955e-05,0.00014594519519326644,2.903205125374155e-05
0.26099999999999995,1.25,1.215491,0.5538766500000001,1.1117075,0.44351925000000003,0.00026099999999999995,0.00125,0.000245293701509021,4.0519470628326576e-05,8.624818838677419e-05,2.1725273300921485e-05
0.28099999999999997,1.26,1.2154989999999999,0.5541921999999999,1.1119750000000002,0.44369510000000006,0.000281,0.00126,0.00022893012034244244,3.61034624378431e-05,8.333666660002307e-05,2.2257358333812865e-05
0.301,1.27,1.2151345,0.55434565,1.112279,0.44373575,0.000301,0.00127,0.00023258278096195914,3.7937151975340806e-05,0.00010880716888146173,3.617855027499332e-05
0.321,1.29,1.2148925,0.5545823,1.112686,0.4437017999999999,0.000321,0.0012900000000000001,0.00025141350401280857,5.1662462194518024e-05,0.0001216305882580642,2.693065168168219e-05
0.341,1.3,1.214389,0.5548460000000001,1.113067,0.4438108499999999,0.00034100000000000005,0.0013000000000000002,0.0002599211418873005,3.85642321328996e-05,8.591274643494973e-05,3.85684780617552e-05
0.36100000000000004,1.32,1.2146345,0.5551851,1.1137035000000002,0.4439235,0.00036100000000000005,0.00132,0.00028224944641222087,2.7847621083314813e-05,7.471780243020674e-05,2.7866646730458304e-05
0.38100000000000006,1.33,1.2143745000000001,0.5553562000000001,1.113975,0.44398304999999993,0.00038100000000000005,0.00133,0.0003601732222139864,5.778546530053599e-05,9.790301323250427e-05,3.415768581154045e-05
0.4010000000000001,1.35,1.2148999999999999,0.5556708,1.114735,0.4441288499999999,0.0004010000000000001,0.00135,0.00017487138130638344,6.95072658072578e-05,9.335416434206973e-05,3.007370113571294e-05
0.4210000000000001,1.36,1.2151285,0.5559423499999999,1.1151069999999998,0.44425345,0.0004210000000000001,0.00136,0.00018751733253222154,4.1805830933016455e-05,7.855571271396744e-05,1.8717571957925117e-05
