"Input current [A]","Input voltage [V]","VDD [V]","Vrefpre [V]","Voutpre [V]","Vbandgap [V]","dIin [A]","dVin [V]","dVDD [V]","dVrefpre [V]","dVoutpre [V]","dVbandgap [V]"
0.001,0.05,3.1114824e-05,0.05569513500000001,0.1585752,0.00010040517,1e-06,5e-05,1.420266932450284e-05,0.008285512636480315,0.0014530778231051531,9.119068286288909e-07
0.021,0.85,0.7439616,0.48445494999999994,0.8499599000000002,0.4287014,2.1000000000000002e-05,0.00085,0.00023650420715073681,0.0001227963659885718,8.664115650196843e-05,4.694294409173191e-05
0.041,1.0,0.89817575,0.55149475,1.106955,0.442343,4.1e-05,0.001,0.00025520577481710744,3.4979815608422974e-05,7.870832230457456e-05,3.8508440633187264e-05
0.061,1.19,1.159335,0.55167895,1.1071385,0.44233525,6.1e-05,0.0011899999999999999,7.358668357795303e-05,3.800851878197443e-05,7.23377494811784e-05,3.440475984511979e-05
0.081,1.2,1.2037925,0.5518050999999999,1.1072905000000002,0.44253264999999997,8.1e-05,0.0012,6.781408408290126e-05,4.3271122009943706e-05,0.00010146304746065142,3.315459998250612e-05
0.101,1.21,1.2035135000000001,0.5520226500000001,1.1074785000000005,0.44258915,0.000101,0.00121,6.381810088054455e-05,5.2971950124569724e-05,7.136350607981232e-05,3.313498905991131e-05
0.12100000000000001,1.21,1.204152,0.5521501499999999,1.1076605,0.44258569999999997,0.00012100000000000001,0.00121,0.00011552488909322962,5.6863235046908776e-05,9.4629540842175e-05,2.9180644269793062e-05
0.14100000000000001,1.21,1.2063294999999998,0.5523357999999999,1.1080269999999999,0.44267709999999993,0.000141,0.00121,0.00023365519467796132,4.359426567797018e-05,6.573431371817475e-05,2.1995226754907913e-05
0.161,1.22,1.209985,0.5524893000000001,1.1083140000000002,0.44274610000000003,0.000161,0.00122,0.00022346140606377356,5.196643147264199e-05,9.871170143401798e-05,1.9485635735077005e-05
0.181,1.23,1.2134465,0.5527261,1.1087779999999998,0.44279694999999997,0.000181,0.00123,0.0002129618510437803,5.786700268719445e-05,0.00010970870521522367,3.8704618587451655e-05
0.20099999999999998,1.23,1.215633,0.55283305,1.1090009999999997,0.4428065,0.00020099999999999998,0.00123,0.00031098392241399667,4.207312087306901e-05,8.263776376450133e-05,2.5784685377175396e-05
0.22099999999999997,1.24,1.2169060000000003,0.5529003499999999,1.1092445000000002,0.4428127,0.00022099999999999998,0.00124,0.00027150322281696494,4.7100185774575844e-05,7.165716991342859e-05,2.7521082827535964e-05
0.24099999999999996,1.24,1.2169789999999998,0.55316585,1.1096105,0.4429766,0.00024099999999999998,0.00124,0.0003398367255021267,4.1383903875781005e-05,8.811781885634713e-05,3.0363464887916388e-05
0.26099999999999995,1.25,1.216792,0.55334635,1.1098839999999999,0.44295789999999996,0.00026099999999999995,0.00125,0.00029746596443964887,5.156381968008973e-05,0.00010869222603293367,3.3566203240759255e-05
0.28099999999999997,1.26,1.2169725000000002,0.55343545,1.110024,0.44305085,0.000281,0.00126,0.0002134918031213274,4.95040149886978e-05,6.529931086925329e-05,2.1891265381424614e-05
0.301,1.27,1.217147,0.55371735,1.1105825,0.443225,0.000301,0.00127,0.00019537400031734948,4.9221209859150784e-05,8.525696452488524e-05,2.5774017925031208e-05
0.321,1.28,1.216517,0.55391795,1.110994,0.44331560000000003,0.000321,0.00128,0.0002841672043005754,4.735976668018031e-05,9.123595782362444e-05,3.591573471335665e-05
0.341,1.29,1.2165295000000003,0.55422735,1.1111,0.4433906,0.00034100000000000005,0.0012900000000000001,0.00038745935270685135,5.520532130147624e-05,0.00014618481453284628,3.2719107567299526e-05
0.36100000000000004,1.31,1.2157829999999998,0.5543744,1.1110365000000002,0.44353004999999995,0.00036100000000000005,0.0013100000000000002,0.00022118092141952853,6.069876440258782e-05,8.199237769452e-05,2.9179573334774787e-05
0.38100000000000006,1.33,1.2158259999999999,0.5547023,1.111697,0.44366120000000003,0.00038100000000000005,0.00133,0.00028928186946297884,6.345005910163243e-05,8.701149349367135e-05,2.9405101598200485e-05
0.4010000000000001,1.35,1.2160815,0.5550550000000001,1.1123835,0.44379355,0.0004010000000000001,0.00135,0.0002817671911348317,4.102438299352935e-05,8.241814120687952e-05,3.140616977601861e-05
0.4210000000000001,1.37,1.2157144999999998,0.5552425999999999,1.112916,0.44398865,0.0004210000000000001,0.0013700000000000001,0.00026048944316424736,3.2229489601902355e-05,7.088018058668188e-05,2.5356015065463545e-05
0.4410000000000001,1.38,1.2155270000000002,0.5556563499999999,1.1134159999999997,0.4440307499999999,0.00044100000000000015,0.00138,0.00020330027053596045,4.1011309415825695e-05,8.108020720249784e-05,2.657230701312749e-05
0.46100000000000013,1.41,1.2153455000000002,0.55587315,1.1140025,0.44417405,0.00046100000000000015,0.00141,0.00019556264980819793,2.6644464715946068e-05,0.00016061989291491684,2.451627010782684e-05
0.48100000000000015,1.43,1.215048,0.5562739499999999,1.1147300000000002,0.44434274999999995,0.00048100000000000014,0.00143,0.00023846593048064025,4.747049083378451e-05,0.00011865917579356039,3.294370197776139e-05
