"Input current [A]","Input voltage [V]","VDD [V]","Vrefpre [V]","Voutpre [V]","Vbandgap [V]","dIin [A]","dVin [V]","dVDD [V]","dVrefpre [V]","dVoutpre [V]","dVbandgap [V]"
0.001,0.38,0.0002576296,0.1316361,0.2978511999999999,0.008441578500000001,1e-06,0.00038,9.801995492755544e-06,0.00017139629517583116,0.00037852735700342555,0.0001506704331073286
0.021,0.66,0.7720052,0.45300265,0.8106395,0.42197805000000005,2.1000000000000002e-05,0.00066,0.002393568749796009,0.00036791646810112376,0.00026578816753195574,3.880653939737702e-05
0.041,1.04,0.8987473000000001,0.55358415,1.0270084999999998,0.44052115000000003,4.1e-05,0.0010400000000000001,0.00016445367128769476,6.65719723306894e-05,0.000496450148554699,3.326150177006559e-05
0.061,1.18,1.15163,0.5517742,1.1104195,0.44291559999999996,6.1e-05,0.00118,3.3911649915642246e-05,5.7297992984051407e-05,0.00010476044100708988,2.7242246603392676e-05
0.081,1.2,1.1999109999999997,0.5520864000000001,1.110833,0.44296165,8.1e-05,0.0012,0.00010439827584783767,3.0082220662708867e-05,8.43860177991774e-05,2.7727738818733613e-05
0.101,1.2,1.200976,0.5522254,1.111126,0.44300215,0.000101,0.0012,0.00011141813137907942,3.5530831681800496e-05,9.666436778874275e-05,2.8284757379193577e-05
0.12100000000000001,1.21,1.2032220000000002,0.5523989500000002,1.1117234999999996,0.4431314499999999,0.00012100000000000001,0.00121,0.0001499533260717957,5.651325065858363e-05,0.0001101487630434449,2.4804183114953832e-05
0.14100000000000001,1.22,1.2066189999999999,0.5525239,1.1119664999999999,0.44311695,0.000141,0.00122,0.00030014829668016836,4.954987386462095e-05,8.409964328106918e-05,2.0222450395536348e-05
0.161,1.22,1.2104955,0.5526685,1.112523,0.4431231499999999,0.000161,0.00122,0.0002022986653440962,5.14494897933807e-05,0.00015235156710714058,2.7842907534953565e-05
0.181,1.22,1.2128410000000003,0.55289785,1.1123150000000002,0.4432259,0.000181,0.00122,0.00012879829191418156,5.0104166493430845e-05,0.00010126697388587218,3.121682238794173e-05
0.20099999999999998,1.23,1.2144854999999999,0.5530246000000001,1.1131794999999998,0.44331560000000014,0.00020099999999999998,0.00123,0.00026369442542457705,4.121334735251964e-05,0.00017373758948480955,3.387978748458191e-05
0.22099999999999997,1.24,1.214947,0.55316275,1.1135685,0.44334265000000006,0.00022099999999999998,0.00124,0.0002789641554035167,4.7633890246336105e-05,0.00010340575419191324,3.0885716763576185e-05
0.24099999999999996,1.24,1.2151554999999998,0.55327465,1.1136795000000002,0.44345264999999995,0.00024099999999999998,0.00124,0.00029098926097025177,3.466017166721323e-05,0.00013734900800517082,2.245278379177188e-05
0.26099999999999995,1.25,1.215741,0.5535449,1.1134685000000002,0.44350389999999995,0.00026099999999999995,0.00125,0.0003050065573065511,4.262968449332261e-05,0.0001996064878705257,3.169526778558904e-05
0.28099999999999997,1.26,1.21537,0.5537003000000001,1.1139605000000001,0.44362189999999996,0.000281,0.00126,0.00014042791745235594,4.0253074416741496e-05,0.0002564268901656062,2.3947651241823848e-05
0.301,1.27,1.2153025000000002,0.55404745,1.1143329999999998,0.44367779999999984,0.000301,0.00127,0.00022210076541966513,3.842847251714137e-05,9.940321926376636e-05,1.9229144546755328e-05
0.321,1.28,1.2154220000000002,0.5542284000000001,1.1152185000000001,0.44367455000000006,0.000321,0.00128,0.00020193068117548815,4.020248748522263e-05,0.00010130523184909524,2.099636873366523e-05
0.341,1.3,1.2154015,0.5545174500000001,1.115083,0.44385840000000004,0.00034100000000000005,0.0013000000000000002,0.00029333044506152963,3.694113560787985e-05,0.00012251938622109853,2.591408883213679e-05
0.36100000000000004,1.31,1.215265,0.5547707500000001,1.1154199999999999,0.44395624999999994,0.00036100000000000005,0.0013100000000000002,0.0002912644846183684,2.9819247140057158e-05,0.00013505554412907906,3.015107792434443e-05
