"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dNTC [Ohm]"
0.001,0.04,-3.7348280999999997e-06,4.652619e-05,0.032483096999999996,10215.89,1e-06,4e-05,3.256230012552133e-05,9.85666561723588e-07,0.0239059489581167,0.4592385001280897
0.006,0.5,0.0014480510000000001,0.1984378,0.41699530000000007,10225.72,6e-06,0.0005,3.2264824499755377e-06,9.190408043172117e-05,0.00019641998370837466,0.44899888641295077
0.011,0.81,0.8209188000000001,0.4496944,0.8055766,10236.240000000002,1.1e-05,0.0008100000000000001,0.0009071461624236837,0.00041839292537040423,0.0004768146809820437,0.47791212581409614
0.016,0.83,0.8067007,0.4504428,0.8071387,10246.02,1.6e-05,0.00083,0.0004006864235284207,0.0001723100693517301,0.0002567765760345064,0.45563142999568174
0.021,0.84,0.7215649,0.5012713,0.8697104,10254.310000000001,2.1000000000000002e-05,0.00084,0.010141143697335132,5.195007218474521e-05,3.8531026459214486e-05,0.33600595232813574
0.026000000000000002,0.94,0.7801093,0.5454589,0.9236991,10260.83,2.6000000000000002e-05,0.00094,0.00015133938680992562,6.607034130380928e-05,5.182557283814606e-05,0.29342801502244403
0.031000000000000003,0.98,0.8298729,0.5551479,0.9820502000000001,10265.51,3.1e-05,0.00098,0.00019623631162453599,3.396306817706519e-05,8.128689931349422e-05,0.23000000000005377
0.036000000000000004,1.05,1.125977,0.5515866,1.105087,10268.88,3.600000000000001e-05,0.0010500000000000002,0.0002797159273262567,2.446712079503674e-05,0.00014387842089765197,0.0979795897113494
0.041,1.18,1.126257,0.5515435,1.1051189999999997,10270.02,4.1e-05,0.00118,0.00023870693328852138,4.221670285561094e-05,7.475961476624841e-05,0.07483314773575107
0.046,1.18,1.127021,0.5516557,1.1051289999999998,10269.730000000001,4.6e-05,0.00118,0.00023943475102834177,4.6037050296466136e-05,0.00010921996154550005,0.08999999999947855
0.051,1.18,1.126433,0.551529,1.104844,10268.73,5.1e-05,0.00118,0.0002903807844882516,3.3505223473364276e-05,7.116178749861384e-05,0.06403124237376602
0.055999999999999994,1.18,1.126446,0.551638,1.104895,10267.31,5.599999999999999e-05,0.00118,0.0002681492121935157,7.130638120114255e-05,5.818075283114158e-05,0.08306623862876031
0.06099999999999999,1.19,1.1267260000000001,0.5516923,1.104971,10265.38,6.099999999999999e-05,0.0011899999999999999,0.00022931201451298407,3.8971912963041216e-05,0.00013648809471892285,0.13266499161420503
0.06599999999999999,1.19,1.127084,0.5517754,1.1050829999999998,10262.67,6.599999999999999e-05,0.0011899999999999999,0.00039895363139093044,6.45417694210468e-05,6.841783393236109e-05,0.16763054614233916
0.071,1.19,1.1276920000000001,0.5517388000000001,1.105077,10259.529999999999,7.099999999999999e-05,0.0011899999999999999,0.00021558293067866166,5.657525961053577e-05,0.0001015923225445657,0.14177446878774763
