"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dNTC [Ohm]"
0.5060000000000003,1.38,1.1238930000000003,0.5551167,0.9290500999999999,9891.621000000001,0.0005060000000000004,0.00138,0.00023841350632883588,9.652880399135154e-05,0.00011463546571630823,1.0324383758853242
0.5110000000000003,1.38,1.124088,0.5552452000000001,0.9297986,9871.373,0.0005110000000000004,0.00138,0.00015567915724333767,0.00012382875271923355,0.00011840624983505169,0.8268984218149776
0.5160000000000003,1.39,1.1238389999999998,0.5550668,0.9295888,9849.026,0.0005160000000000004,0.00139,0.00015469001260587833,0.00012371240843182522,0.00014964344289010827,0.8752622464155838
0.5210000000000004,1.39,1.123828,0.5550606,0.9298107999999999,9827.073,0.0005210000000000004,0.00139,0.00023924046480475005,0.00013438467174494532,0.00019802363495297903,0.9422000849077168
0.5260000000000004,1.39,1.123757,0.5549552000000001,0.9303386999999999,9802.975000000002,0.0005260000000000003,0.00139,0.0001839048667109899,9.872365471355098e-05,0.0001554670704682982,1.0326882394989898
0.5310000000000004,1.4,1.1240850000000002,0.5552879000000001,0.9306472999999998,9779.5,0.0005310000000000003,0.0014,0.00027925794527638775,0.0001044255236999131,0.00015910062853427242,1.1787790293352682
0.5360000000000004,1.41,1.1237970000000002,0.5551297,0.9305522999999999,9756.100999999999,0.0005360000000000003,0.00141,0.0001251439171514334,8.090247215011509e-05,0.00010207257222192739,1.206237538795918
0.5410000000000004,1.41,1.123974,0.5551481,0.9307998999999999,9733.180999999999,0.0005410000000000004,0.00141,0.00015774663229372088,0.00010530284896431736,0.00014807258355278808,1.0864202685887097
0.5460000000000004,1.41,1.1236799999999998,0.5551112,0.9307662000000001,9708.724,0.0005460000000000004,0.00141,0.00010373041983916118,0.00011200339280575718,0.00010856684576795382,0.8279396113243771
0.5510000000000004,1.42,1.123885,0.5552143,0.9317401999999999,9688.455000000002,0.0005510000000000004,0.00142,0.00014555067845942112,0.00011533434007266193,0.00014739932157238126,1.0584446135723256
0.5560000000000004,1.42,1.1232099999999998,0.5550225,0.9312976999999998,9666.467999999999,0.0005560000000000004,0.00142,0.00023782346393910362,0.0001615922337242757,0.00020531052091890458,1.0784692856078613
0.5610000000000004,1.43,1.1232929999999999,0.5549409,0.9320259999999999,9638.93,0.0005610000000000004,0.00143,0.00021123683390922385,0.00015781029750938844,0.00015083302025750895,1.4824169453970717
0.5660000000000004,1.43,1.1234799999999998,0.554907,0.9324372999999999,9612.845,0.0005660000000000004,0.00143,0.0002141961717678536,8.951983020538848e-05,0.00015600900615027325,1.2166120992327412
0.5710000000000004,1.44,1.123774,0.5552094000000001,0.9328987999999999,9585.498000000001,0.0005710000000000004,0.0014399999999999999,0.00021527656630480272,0.00011448772860003738,0.00013555722039050697,1.590306888622586
0.5760000000000004,1.44,1.1237749999999997,0.5550219000000001,0.9329341999999998,9563.115,0.0005760000000000004,0.0014399999999999999,0.0003321821789319774,8.65395285404437e-05,0.00014865718953351612,1.4789202142104538
0.5810000000000004,1.45,1.1239970000000001,0.5549857,0.9332579999999998,9541.154999999999,0.0005810000000000005,0.00145,0.00019854722360184863,6.0811265403702004e-05,0.0001513327459606748,1.365908122824867
0.5860000000000004,1.46,1.123537,0.5548102,0.9333944000000001,9518.534,0.0005860000000000005,0.00146,0.00029644729717104247,5.511224909219825e-05,0.00011284608987464494,1.1229443441240754
0.5910000000000004,1.46,1.12378,0.5551162,0.9340859,9494.714000000002,0.0005910000000000004,0.00146,0.00016822603841265733,9.053154146482718e-05,0.00016804133420085017,0.9255938634193478
0.5960000000000004,1.46,1.124006,0.5552978000000001,0.9349154000000001,9470.717999999999,0.0005960000000000004,0.00146,0.00010669582934681908,5.98812157525441e-05,0.00022332272611626214,1.2724999017682443
0.6010000000000004,1.47,1.1241400000000001,0.5552793,0.9349174,9446.195000000002,0.0006010000000000004,0.00147,0.0001565247584249879,0.00013116710715724435,0.00018063897696786961,0.7309069708245993
0.6060000000000004,1.48,1.1246589999999999,0.555404,0.9352139000000002,9422.507,0.0006060000000000004,0.00148,0.0002710885464197534,9.690923588595059e-05,0.00013582227357838495,1.2792267195456408
0.6110000000000004,1.48,1.123948,0.5550203,0.9352233999999999,9397.640000000001,0.0006110000000000004,0.00148,0.00021999090890310904,0.00011016265247351801,0.00014442451315479295,1.18652433603371
0.6160000000000004,1.49,1.123662,0.554953,0.9357321000000001,9374.679,0.0006160000000000004,0.00149,0.00022453507521098047,0.00011693502469320911,0.00013249184880587524,1.2876214505823766
0.6210000000000004,1.49,1.1239279999999998,0.5550497,0.9359337999999999,9350.526999999998,0.0006210000000000005,0.00149,0.0002034109141614251,4.585204466541832e-05,9.421974315397094e-05,1.1294959052602986
0.6260000000000004,1.5,1.123424,0.5549712,0.9364291,9326.696,0.0006260000000000005,0.0015,0.00016638509548632614,7.849942674949396e-05,0.00014849811446612926,1.1924193893092203
0.6310000000000004,1.5,1.1238750000000002,0.5551102,0.9362828999999999,9301.099,0.0006310000000000005,0.0015,0.00024171263930544264,2.7823730878528978e-05,0.0002458102723646719,1.0782713016675245
0.6360000000000005,1.51,1.124297,0.5551549,0.9372091000000001,9278.806,0.0006360000000000005,0.00151,0.00015741982086132822,7.433229446208699e-05,0.0001671193884622634,1.3960816595027863
0.6410000000000005,1.51,1.124074,0.5551653999999999,0.9375352000000001,9258.782000000001,0.0006410000000000005,0.00151,0.00023825196746301094,0.00011183308991528763,0.00012384409553951794,0.8687899631097064
0.6460000000000005,1.52,1.123982,0.5548561999999999,0.9376437,9238.344000000001,0.0006460000000000005,0.00152,0.00017348198753763965,6.170380863448877e-05,0.0001949728442629837,0.8197828980893526
0.6510000000000005,1.52,1.123921,0.5549432,0.9381530000000001,9222.124,0.0006510000000000004,0.00152,0.00016428329190762113,9.194324336240907e-05,0.00012139851728913766,0.723673959735786
0.6560000000000005,1.52,1.124182,0.5551306,0.9384929,9203.238000000001,0.0006560000000000004,0.00152,0.0003447259781333656,7.97649045633454e-05,0.00015967432479894675,1.3530764945115217
0.6610000000000005,1.53,1.1239890000000001,0.5551357,0.9387314,9178.444,0.0006610000000000005,0.0015300000000000001,0.00022115379264214585,6.579065283155199e-05,0.0001079325715435479,1.8274692883875387
