"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dNTC [Ohm]"
0.001,1.37,1.125776,0.44561090000000003,0.8290707999999999,9464.697999999999,1e-06,0.0013700000000000001,0.0002280877024304435,5.7034112599391565e-05,8.732903297299573e-05,5.944434035297025
0.006,1.79,1.126492,0.44607160000000007,0.8285688999999999,9289.369999999999,6e-06,0.0017900000000000001,0.00015406492138053047,2.6344638923326068e-05,6.166271158489621e-05,10.747665793091707
0.011,1.8,1.126747,0.4462382999999999,0.8282213,9058.973,1.1e-05,0.0018000000000000002,0.00012321120078952926,2.1170970691020628e-05,7.528220241198252e-05,11.535078716679754
0.016,1.8,1.127001,0.4463204,0.8280602,8825.987,1.6e-05,0.0018000000000000002,0.0001427900556761393,3.211292574650144e-05,4.362292975029665e-05,11.192148185223424
0.021,1.8,1.126719,0.44628179999999995,0.8279285,8613.519,2.1000000000000002e-05,0.0018000000000000002,0.00011423221962303181,2.717646040234809e-05,5.912402219064524e-05,9.737645968097091
0.026000000000000002,1.81,1.127094,0.44635349999999996,0.8278273,8425.193,2.6000000000000002e-05,0.0018100000000000002,0.00016107141273360328,3.333541660156964e-05,7.88188429247721e-05,8.744151245261293
0.031000000000000003,1.81,1.1262159999999999,0.44630369999999997,0.8278085000000001,8263.831,3.1e-05,0.0018100000000000002,0.0001440277750991067,1.405026690138807e-05,5.441185532581743e-05,7.6034011468553215
0.036000000000000004,1.81,1.126708,0.44630380000000003,0.8275236000000001,8116.221,3.600000000000001e-05,0.0018100000000000002,0.00013082813153139197,3.0996128790542487e-05,6.162499492899738e-05,6.514148371045923
0.041,1.8,1.126335,0.44633,0.8276233999999999,7996.6720000000005,4.1e-05,0.0018000000000000002,0.0001443779761598254,3.7889312477269255e-05,9.901232246544595e-05,5.21183230735609
0.046,1.81,1.126214,0.44632380000000005,0.8274998,7893.505,4.6e-05,0.0018100000000000002,0.00019391750823483778,2.1935359582186752e-05,7.942392586617403e-05,5.040768294615418
0.051,1.81,1.1263159999999999,0.44636239999999994,0.8274819999999998,7804.552000000001,5.1e-05,0.0018100000000000002,0.0001820549367636084,1.0965400129502827e-05,5.653848246989764e-05,3.6689284539220988
0.055999999999999994,1.81,1.126308,0.44635790000000003,0.8273185999999999,7724.4580000000005,5.599999999999999e-05,0.0018100000000000002,0.000170516861336318,2.740966982654505e-05,5.418892875856928e-05,3.721958624165483
0.06099999999999999,1.81,1.126217,0.4463449,0.8270654000000001,7654.880999999999,6.099999999999999e-05,0.0018100000000000002,0.0001275186260904822,1.6446580191633423e-05,5.8610920484161674e-05,3.2901654973571945
0.06599999999999999,1.81,1.126415,0.4463667,0.8272231,7593.62,6.599999999999999e-05,0.0018100000000000002,0.00012060265337047686,2.876821162325293e-05,4.858487418938862e-05,2.743756548967034
0.071,1.81,1.1261189999999999,0.44636639999999994,0.8273309,7532.135,7.099999999999999e-05,0.0018100000000000002,0.0002015167486835728,2.876873302736947e-05,7.64610358287033e-05,2.3991133778960885
0.076,1.81,1.1257860000000002,0.44632449999999996,0.8272733999999999,7480.581000000001,7.6e-05,0.0018100000000000002,0.00022410711724528285,2.2983689869124683e-05,5.8641623442714584e-05,2.151671210942628
0.081,1.81,1.126071,0.4463509,0.8273084,7434.107000000001,8.1e-05,0.0018100000000000002,0.00018343663756181498,1.5208221460770755e-05,9.626754385565607e-05,2.173458304177914
0.08600000000000001,1.81,1.1259830000000002,0.44637850000000007,0.8272012,7394.758,8.6e-05,0.0018100000000000002,0.00012767536959023892,2.8993964889267174e-05,7.37953928101225e-05,1.5828190041820804
0.09100000000000001,1.81,1.125742,0.44632379999999994,0.8271657000000001,7355.7699999999995,9.100000000000002e-05,0.0018100000000000002,0.00018247191564728734,1.5948667655952687e-05,5.157722365541761e-05,1.6402743672934643
0.09600000000000002,1.81,1.1257329999999999,0.44630220000000004,0.8271782,7320.528,9.600000000000002e-05,0.0018100000000000002,0.0001679910711913182,2.459186857479077e-05,6.159188258206378e-05,1.6841068849690362
0.10100000000000002,1.81,1.1258789999999999,0.44630870000000006,0.827135,7286.593000000001,0.00010100000000000003,0.0018100000000000002,0.00012193850909372477,1.4744829602271104e-05,6.0411919353706426e-05,1.4372755476944143
0.10600000000000002,1.81,1.125848,0.44632569999999994,0.8271874,7253.695999999999,0.00010600000000000003,0.0018100000000000002,0.00019140532907939995,1.853132483120973e-05,7.959673360131873e-05,1.4031763966089685
